SOURCE_ID,ra,dec,parallax,phot_g_mean_mag,bp_rp,teff_gspphot,logg_gspphot,mh_gspphot
6011389574994615680,238.7466537523786,-35.37601410284038,0.14468621357140724,18.18813133239746,1.2567005157470703,4518.96826171875,4.781099796295166,-2.79229998588562
6011389574994618240,238.7583802078463,-35.37142205104962,0.4589752628050203,18.585052490234375,1.3774471282958984,4318.47314453125,4.925099849700928,-1.5841000080108643
6011389579300654720,238.7620811746768,-35.378973944627006,0.32056282133706016,17.21220588684082,1.2470874786376953,5130.92919921875,4.748799800872803,-1.4879000186920166
6011389579300655360,238.75702332483195,-35.379539584447954,0.6369347473702183,17.627954483032227,1.6116867065429688,4729.7177734375,4.632699966430664,0.5253999829292297
6011389579300657920,238.7555786352504,-35.3726594640711,0.328954503345003,15.831454277038574,1.5535898208618164,4989.666015625,4.097300052642822,-0.012799999676644802
6011389579300703872,238.7589990344405,-35.369062356900976,0.6884336570497789,16.519746780395508,1.3271589279174805,5424.17578125,4.64139986038208,-0.47029998898506165
6011389609354983552,238.66419961949123,-35.44619201481049,0.129593098951567,17.59111213684082,1.3475475311279297,4318.572265625,4.252200126647949,-2.334700107574463
6011389609354985344,238.66398007613364,-35.442761528910175,0.22546184443330042,18.88323402404785,1.6151561737060547,4009.782470703125,4.813899993896484,-2.113300085067749
6011389609354987392,238.66922360089887,-35.43796003417022,0.22268215324741136,18.95235252380371,1.3131275177001953,4351.404296875,5.0808000564575195,-2.9802000522613525
4756990160841984000,83.95569211691787,-64.09914847406982,0.23038359672341935,18.69295883178711,1.050088882446289,4941.9267578125,4.838200092315674,-1.9833999872207642
4756990190895914752,83.959444835963,-64.08390920435957,1.0442117108294948,16.208938598632812,1.1937761306762695,4692.5009765625,4.530900001525879,-0.47200000286102295
4758137466852992128,88.33985842566706,-62.6945102434689,0.24533177272508677,17.574848175048828,0.8515567779541016,5588.26513671875,4.712200164794922,-1.513100028038025
4758137466852992256,88.34797103305606,-62.69963149283185,1.3099163129787121,17.303316116333008,1.8607254028320312,3889.59423828125,4.604899883270264,-0.375
4758137496914605568,88.36220405845238,-62.69114502959789,0.48390402556583834,18.757444381713867,1.0875530242919922,4773.56689453125,4.815199851989746,-1.3984999656677246
4758137604291568384,88.3515069815265,-62.66952402630245,0.3796183169401393,14.616710662841797,1.1532821655273438,4773.85546875,2.867000102996826,-0.4050000011920929
2062449136699953536,302.99119127612914,40.20276648578956,0.48921589117014397,14.030357360839844,2.1349973678588867,5015.33251953125,2.81850004196167,-0.006200000178068876
2062449141008394624,302.9870451987292,40.19730239318865,0.6971943594085049,17.839441299438477,1.7934226989746094,4416.29833984375,4.6203999519348145,-1.3615000247955322
2062449141008396288,302.9938561593449,40.2057479833853,0.28529230666274275,16.924875259399414,1.7496929168701172,7093.76513671875,4.308800220489502,0.03370000049471855
2062449171059732608,303.0010244410317,40.20624338366197,0.29791829129222025,17.909250259399414,1.7964553833007812,4771.830078125,4.578000068664551,-1.618499994277954
2062449171059741184,302.9994454187427,40.209306323625185,0.11869039296630146,18.35388946533203,1.6800041198730469,4773.83935546875,4.834700107574463,-1.646399974822998
2062449171059748608,302.99652335724437,40.21470023183777,0.29212108255010527,17.7551212310791,1.6942272186279297,4938.96484375,4.747099876403809,-1.1532000303268433
2062449171073193600,303.00758337599007,40.21031624925237,0.9832097653757588,15.600629806518555,1.1510028839111328,5567.37548828125,4.5142998695373535,-0.41530001163482666
2062720204979383040,308.98585026418874,36.13154890769578,0.508217406981425,16.393489837646484,1.6876192092895508,7629.7939453125,3.5071001052856445,0.0031999999191612005
2062720204979391744,308.9752816323577,36.13011995178247,0.37504908002693704,16.38336181640625,1.5046014785766602,9227.9365234375,3.499500036239624,-0.5536999702453613
2062720235031220352,308.9963608747785,36.128417114348345,0.17444961247124532,17.31426239013672,2.5606441497802734,7949.27783203125,3.484100103378296,0.07760000228881836
2062720235031228544,309.0003423924237,36.1269809159481,0.3619501200397832,18.564680099487305,2.009246826171875,4325.80712890625,4.86460018157959,-1.3583999872207642
2062720235031231744,308.99527031654,36.133471231417104,0.31523372509437575,18.677261352539062,2.185392379760742,4083.488037109375,4.401000022888184,-1.9795000553131104
2062720235036932480,309.0017035633076,36.131263808386365,0.1593302790162292,18.43657875061035,2.4094600677490234,4164.3466796875,4.191699981689453,-1.6174999475479126
2062720239332085120,308.99902432459226,36.130758910866646,1.2628696620467785,18.57840919494629,2.296173095703125,3563.195068359375,4.8460001945495605,-0.36039999127388
2062720239339103360,309.00262439685207,36.12878023596813,0.31480235656953676,17.98850440979004,1.8164329528808594,5087.56591796875,4.760499954223633,-1.4617999792099
2062720239339106048,308.9993567360728,36.12848773190621,0.305304968975883,15.955222129821777,2.358546257019043,4640.3974609375,1.9174000024795532,-1.023900032043457
6011010419585565184,239.7916574579981,-35.461682858263046,0.6649163928947003,18.31479835510254,1.2054080963134766,4609.26513671875,4.8109002113342285,-2.430299997329712
6011010419590401920,239.7863912837583,-35.469326803785954,0.5537848401515783,17.238466262817383,1.3258495330810547,5129.64501953125,4.748600006103516,-1.4284000396728516
6011010419590733696,239.78596257119506,-35.46549299651584,0.5373359155735651,18.386672973632812,1.3598213195800781,4358.9501953125,4.741399765014648,-2.092900037765503
6011010419591146496,239.78449193553226,-35.46777941134668,0.5399217895501692,16.66254997253418,1.336073875427246,5242.681640625,4.5808000564575195,-0.4074999988079071
6011010449640835968,239.79189154609458,-35.455301457175146,0.2720241719167867,17.6307430267334,1.2224159240722656,4917.607421875,4.840199947357178,-2.0759999752044678
