pl_name,hostname,discoverymethod,disc_year,pl_eqt
TOI-2141 c,TOI-2141,Radial Velocity,2025,1095.0
WASP-4 b,WASP-4,Transit,2007,1653.0
DMPP-1 e,DMPP-1,Radial Velocity,2019,1314.0
KMT-2020-BLG-0414L b,KMT-2020-BLG-0414L,Microlensing,2021,
HD 11505 b,HD 11505,Radial Velocity,2022,
75 Cet c,75 Cet,Radial Velocity,2023,
WASP-45 b,WASP-45,Transit,2011,1153.0
Kepler-195 b,Kepler-195,Transit,2014,751.0
Kepler-1556 b,Kepler-1556,Transit,2016,797.0
Kepler-209 b,Kepler-209,Transit,2014,668.0
OGLE-2018-BLG-1269L b,OGLE-2018-BLG-1269L,Microlensing,2020,
TOI-1136 g,TOI-1136,Transit,2022,574.0
Kepler-131 c,Kepler-131,Transit,2014,615.0
K2-83 c,K2-83,Transit,2016,
Kepler-994 b,Kepler-994,Transit,2016,957.0
Kepler-24 d,Kepler-24,Transit,2014,1305.0
Kepler-548 b,Kepler-548,Transit,2016,1017.0
KELT-21 b,KELT-21,Transit,2018,2051.0
HD 28254 b,HD 28254,Radial Velocity,2010,
HATS-40 b,HATS-40,Transit,2018,2101.0
Kepler-237 b,Kepler-237,Transit,2014,823.0
GJ 9404 b,GJ 9404,Radial Velocity,2023,
Kepler-376 b,Kepler-376,Transit,2014,1242.0
Kepler-1517 b,Kepler-1517,Transit,2016,2336.0
K2-126 b,K2-126,Transit,2017,601.0
Kepler-1876 b,Kepler-1876,Transit,2021,1299.0
HD 224018 d,HD 224018,Transit,2025,411.0
EPIC 246851721 b,EPIC 246851721,Transit,2018,1401.0
K2-226 b,K2-226,Transit,2018,1187.0
HD 125612 b,HD 125612,Radial Velocity,2007,
K2-183 b,K2-183,Transit,2018,
HD 109988 b,HD 109988,Radial Velocity,2022,
Kepler-100 e,Kepler-100,Radial Velocity,2023,
Kepler-219 c,Kepler-219,Transit,2014,766.0
K2-141 c,K2-141,Transit,2018,695.0
Kepler-1790 b,Kepler-1790,Transit,2021,682.0
Kepler-1641 c,Kepler-1641,Transit,2016,767.0
HD 75898 c,HD 75898,Radial Velocity,2024,
TOI-4860 b,TOI-4860,Transit,2023,694.0
WASP-155 b,WASP-155,Transit,2025,1468.0
HD 203387 b,HD 203387,Radial Velocity,2022,
K2-386 b,K2-386,Transit,2022,
HATS-35 b,HATS-35,Transit,2016,2037.0
Kepler-199 b,Kepler-199,Transit,2014,595.0
Kepler-918 b,Kepler-918,Transit,2016,1052.0
GJ 806 c,GJ 806,Radial Velocity,2023,490.0
WASP-42 b,WASP-42,Transit,2012,1021.0
HD 6061 b,HD 6061,Transit,2023,1075.31
K2-206 b,K2-206,Transit,2018,
Kepler-248 c,Kepler-248,Transit,2014,598.0
HD 13189 b,HD 13189,Radial Velocity,2005,
HD 1461 b,HD 1461,Radial Velocity,2010,
TOI-5232 b,TOI-5232,Transit,2024,1772.0
HD 133131 A c,HD 133131 A,Radial Velocity,2016,
HD 285507 b,HD 285507,Radial Velocity,2013,
Kepler-1319 b,Kepler-1319,Transit,2016,557.0
Kepler-141 b,Kepler-141,Transit,2014,968.0
Kepler-582 b,Kepler-582,Transit,2016,603.0
Kepler-335 c,Kepler-335,Transit,2014,592.0
XO-2 S c,XO-2 S,Radial Velocity,2014,
Kepler-31 d,Kepler-31,Transit,2014,484.0
TOI-2583 A b,TOI-2583 A,Transit,2023,1456.0
Kepler-966 b,Kepler-966,Transit,2016,391.0
HD 50499 c,HD 50499,Radial Velocity,2019,
Kepler-630 b,Kepler-630,Transit,2016,343.0
WASP-140 b,WASP-140,Transit,2016,1320.0
HAT-P-26 b,HAT-P-26,Transit,2010,1001.0
K2-374 c,K2-374,Transit,2022,
Kepler-874 b,Kepler-874,Transit,2016,560.0
KMT-2021-BLG-0322L b,KMT-2021-BLG-0322L,Microlensing,2021,
L 98-59 b,L 98-59,Transit,2019,620.0
Kepler-235 b,Kepler-235,Transit,2014,731.0
GJ 504 b,GJ 504,Imaging,2013,510.0
EPIC 220492298 b,EPIC 220492298,Transit,2021,
WASP-126 c,WASP-126,Transit Timing Variations,2019,
K2-395 b,K2-395,Transit,2022,
Kepler-1047 b,Kepler-1047,Transit,2016,503.0
KOI-1833 d,Kepler-968,Transit,2021,613.0
Kepler-85 c,Kepler-85,Transit,2012,706.0
Kepler-1345 b,Kepler-1345,Transit,2016,693.0
TOI-1130 c,TOI-1130,Transit,2020,650.0
Kepler-1711 b,Kepler-1711,Transit,2021,669.0
Kepler-734 b,Kepler-734,Transit,2016,784.0
Kepler-521 b,Kepler-521,Transit,2016,803.0
TOI-1516 b,TOI-1516,Transit,2022,1839.0
WASP-163 b,WASP-163,Transit,2018,1638.0
TYC 8998-760-1 c,TYC 8998-760-1,Imaging,2020,1240.0
GJ 667 C c,GJ 667 C,Radial Velocity,2013,
HD 104067 c,HD 104067,Radial Velocity,2024,
K2-395 c,K2-395,Transit,2022,
TOI-150.01,TOI-150,Transit,2019,1404.5
Kepler-514 b,Kepler-514,Transit,2016,1248.0
Kepler-358 c,Kepler-358,Transit,2014,411.0
Kepler-1377 b,Kepler-1377,Transit,2016,1873.0
Kepler-1720 b,Kepler-1720,Transit,2021,697.0
Kepler-866 b,Kepler-866,Transit,2016,996.0
Kepler-223 b,Kepler-223,Transit,2014,1042.0
Kepler-665 b,Kepler-665,Transit,2016,593.0
HD 4732 c,HD 4732,Radial Velocity,2012,
TOI-332 b,TOI-332,Transit,2023,1871.0
Kepler-922 b,Kepler-922,Transit,2016,1876.0
K2-133 b,K2-133,Transit,2017,
Gaia-2 b,Gaia-2,Transit,2022,1213.23
HATS-67 b,HATS-67,Transit,2018,2193.0
Kepler-549 b,Kepler-549,Transit,2016,487.0
OGLE-2018-BLG-0298L b,OGLE-2018-BLG-0298L,Microlensing,2022,
GJ 1148 b,GJ 1148,Radial Velocity,2010,
Kepler-1780 b,Kepler-1780,Transit,2021,340.0
K2-43 b,K2-43,Transit,2016,939.3
Kepler-223 e,Kepler-223,Transit,2014,751.0
K2-215 b,K2-215,Transit,2018,
K2-179 b,K2-179,Transit,2018,
Kepler-1069 b,Kepler-1069,Transit,2016,823.0
55 Cnc b,55 Cnc,Radial Velocity,1996,700.0
Kepler-68 c,Kepler-68,Transit,2013,1052.0
WASP-91 b,WASP-91,Transit,2017,1160.0
TOI-5301 b,TOI-5301,Transit,2024,1648.0
HD 28471 b,HD 28471,Radial Velocity,2025,1377.0
NY Vir b,NY Vir,Eclipse Timing Variations,2011,
Kepler-253 d,Kepler-253,Transit,2014,563.0
TOI-2447 b,TOI-2447,Transit,2024,414.0
TOI-500 e,TOI-500,Radial Velocity,2022,
Kepler-1651 b,Kepler-1651,Transit,2017,393.0
K2-58 d,K2-58,Transit,2016,
TOI-4137 b,TOI-4137,Transit,2022,1570.0
K2-62 b,K2-62,Transit,2016,666.0
GJ 625 b,GJ 625,Radial Velocity,2017,
Kepler-267 b,Kepler-267,Transit,2014,615.0
L 98-59 e,L 98-59,Radial Velocity,2021,347.0
K2-166 b,K2-166,Transit,2018,1140.0
TOI-2096 c,TOI-2096,Transit,2023,349.0
Kepler-775 b,Kepler-775,Transit,2016,1612.0
NGTS-11 b,NGTS-11,Transit,2020,435.0
KIC 10068024 b,KIC 10068024,Orbital Brightness Modulation,2021,
WASP-177 b,WASP-177,Transit,2019,1142.0
NGC 2682 Sand 1429 b,NGC 2682 Sand 1429,Radial Velocity,2024,683.0
TOI-6034 b,TOI-6034,Transit,2024,714.0
Kepler-369 b,Kepler-369,Transit,2014,687.0
HD 183579 b,HD 183579,Transit,2021,752.0
Kepler-791 b,Kepler-791,Transit,2016,939.0
Kepler-657 b,Kepler-657,Transit,2016,616.0
TOI-1260 b,TOI-1260,Transit,2021,871.0
Kepler-240 c,Kepler-240,Transit,2014,696.0
K2-198 c,K2-198,Transit,2019,1229.9
TOI-1062 b,TOI-1062,Transit,2021,1077.0
WASP-79 b,WASP-79,Transit,2012,1716.2
Kepler-403 c,Kepler-403,Transit,2014,604.0
Kepler-1630 b,Kepler-1630,Transit,2016,182.0
HD 219666 b,HD 219666,Transit,2018,1076.0
Kepler-1365 b,Kepler-1365,Transit,2016,969.0
HAT-P-34 b,HAT-P-34,Transit,2011,1520.0
Kepler-133 c,Kepler-133,Transit,2014,663.0
TOI-2046 b,TOI-2046,Transit,2022,1828.82
K2-170 b,K2-170,Transit,2018,
Kepler-346 c,Kepler-346,Transit,2014,654.0
Kepler-160 b,Kepler-160,Transit,2014,1134.0
HD 170469 b,HD 170469,Radial Velocity,2007,
Kepler-341 d,Kepler-341,Transit,2014,622.0
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,Microlensing,2016,
Kepler-292 b,Kepler-292,Transit,2014,1130.0
K2-125 b,K2-125,Transit,2017,
OGLE-2014-BLG-0221L b,OGLE-2014-BLG-0221L,Microlensing,2024,
Kepler-769 b,Kepler-769,Transit,2016,1037.0
HD 27442 b,HD 27442,Radial Velocity,2000,
Kepler-1489 b,Kepler-1489,Transit,2016,400.0
BD+15 2375 b,BD+15 2375,Radial Velocity,2016,
Kepler-1623 b,Kepler-1623,Transit,2016,1000.0
KELT-11 b,KELT-11,Transit,2017,1712.0
Kepler-496 b,Kepler-496,Transit,2016,747.0
HD 156411 b,HD 156411,Radial Velocity,2009,
Kepler-1331 b,Kepler-1331,Transit,2016,1244.0
TOI-4463 A b,TOI-4463 A,Transit,2023,1395.0
Kepler-1246 b,Kepler-1246,Transit,2016,554.0
Kepler-1126 b,Kepler-1126,Transit,2016,374.0
Kepler-926 b,Kepler-926,Transit,2016,524.0
K2-49 b,K2-49,Transit,2016,
GJ 676 A e,GJ 676 A,Radial Velocity,2012,
Kepler-287 b,Kepler-287,Transit,2014,667.0
KELT-17 b,KELT-17,Transit,2016,2087.0
HAT-P-21 b,HAT-P-21,Transit,2010,1283.0
TOI-2145 b,TOI-2145,Transit,2023,1363.43
Kepler-48 c,Kepler-48,Transit,2012,736.0
HD 110067 g,HD 110067,Transit,2023,440.0
TOI-2096 b,TOI-2096,Transit,2023,445.0
Kepler-1369 b,Kepler-1369,Transit,2016,667.0
HD 142245 b,HD 142245,Radial Velocity,2011,
HD 4203 c,HD 4203,Radial Velocity,2014,
HD 213472 b,HD 213472,Radial Velocity,2021,
Kepler-1136 b,Kepler-1136,Transit,2016,922.0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,1250.0
Kepler-1356 b,Kepler-1356,Transit,2016,1714.0
Kepler-289 e,Kepler-289,Transit,2025,286.0
HD 13908 c,HD 13908,Radial Velocity,2013,
Kepler-605 c,Kepler-605,Transit,2016,1278.0
K2-8 b,K2-8,Transit,2015,631.0
Kepler-292 c,Kepler-292,Transit,2014,1001.0
HATS-33 b,HATS-33,Transit,2016,1429.0
Kepler-539 b,Kepler-539,Transit,2016,387.6
K2-266 e,K2-266,Transit,2018,490.1
Kepler-80 d,Kepler-80,Transit,2014,722.0
HD 33283 b,HD 33283,Radial Velocity,2006,
pi Men d,HD 39091,Radial Velocity,2022,
K2-254 c,K2-254,Transit,2018,551.0
Kepler-889 b,Kepler-889,Transit,2016,1328.0
Kepler-1504 b,Kepler-1504,Transit,2016,485.0
HD 206255 b,HD 206255,Radial Velocity,2019,
Kepler-1254 c,Kepler-1254,Transit,2016,927.0
Kepler-244 c,Kepler-244,Transit,2014,791.0
HD 38283 b,HD 38283,Radial Velocity,2010,
Kepler-1332 b,Kepler-1332,Transit,2016,728.0
HIP 35965 b,HIP 35965,Radial Velocity,2022,
OGLE-2013-BLG-0102L b,OGLE-2013-BLG-0102L,Microlensing,2014,
Kepler-341 b,Kepler-341,Transit,2014,1085.0
Kepler-676 b,Kepler-676,Transit,2016,396.0
HD 80913 b,HD 80913,Radial Velocity,2022,
HD 134060 b,HD 134060,Radial Velocity,2019,
Kepler-1950 b,Kepler-1950,Transit,2021,752.0
K2-199 b,K2-199,Transit,2018,913.0
Kepler-1984 b,Kepler-1984,Transit,2023,675.0
Kepler-598 c,Kepler-598,Transit,2020,367.0
Kepler-25 b,Kepler-25,Transit,2011,1185.0
Kepler-1669 b,Kepler-1669,Transit,2020,530.0
Kepler-284 c,Kepler-284,Transit,2014,478.0
HD 55696 b,HD 55696,Radial Velocity,2018,
24 Sex b,24 Sex,Radial Velocity,2010,
Kepler-895 b,Kepler-895,Transit,2016,771.0
K2-60 b,K2-60,Transit,2016,1400.0
Kepler-288 d,Kepler-288,Transit,2014,570.0
Kepler-1397 b,Kepler-1397,Transit,2016,551.0
Kepler-787 b,Kepler-787,Transit,2016,1115.0
K2-352 d,K2-352,Transit,2021,727.0
Kepler-358 b,Kepler-358,Transit,2014,554.0
Kepler-295 c,Kepler-295,Transit,2014,621.0
Kepler-354 d,Kepler-354,Transit,2014,451.0
TOI-3135 b,TOI-3135,Transit,2025,1292.0
HD 8673 b,HD 8673,Radial Velocity,2009,
Kepler-646 b,Kepler-646,Transit,2016,632.0
Kepler-718 b,Kepler-718,Transit,2016,1497.0
TOI-2134 c,TOI-2134,Transit,2023,306.0
WASP-150 b,WASP-150,Transit,2020,1460.0
Kepler-1179 b,Kepler-1179,Transit,2016,1137.0
TOI-4010 e,TOI-4010,Radial Velocity,2023,174.0
Kepler-1342 b,Kepler-1342,Transit,2016,1283.0
Kepler-381 c,Kepler-381,Transit,2014,1180.0
Kepler-230 b,Kepler-230,Transit,2014,506.0
Kepler-1544 b,Kepler-1544,Transit,2016,269.0
WASP-174 b,WASP-174,Transit,2018,1528.0
AU Mic c,AU Mic,Transit,2021,459.0
Kepler-1880 b,Kepler-1880,Transit,2021,606.0
HD 9174 b,HD 9174,Radial Velocity,2016,
Kepler-149 d,Kepler-149,Transit,2014,306.0
Kepler-475 b,Kepler-475,Transit,2016,980.0
Kepler-523 b,Kepler-523,Transit,2016,884.0
Kepler-1978 b,Kepler-1978,Transit,2023,676.0
GJ 3222 b,GJ 3222,Radial Velocity,2022,
Kepler-1836 b,Kepler-1836,Transit,2021,1093.0
GJ 724 b,GJ 724,Radial Velocity,2023,611.0
Kepler-896 c,Kepler-896,Transit,2023,515.0
HD 34445 c,HD 34445,Radial Velocity,2017,
Barnard e,Barnard's star,Radial Velocity,2025,340.0
TOI-1842 b,TOI-1842,Transit,2021,1199.55
Kepler-141 c,Kepler-141,Transit,2014,738.0
Kepler-385 b,Kepler-385,Transit,2014,951.0
Kepler-948 b,Kepler-948,Transit,2016,841.0
K2-201 b,K2-201,Transit,2018,
HD 213885 b,HD 213885,Transit,2019,2128.0
Kepler-1715 b,Kepler-1715,Transit,2021,646.0
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,Microlensing,2017,
HD 151450 c,HD 151450,Radial Velocity,2022,
MOA-2009-BLG-266L b,MOA-2009-BLG-266L,Microlensing,2011,
Kepler-887 c,Kepler-887,Transit,2016,1089.0
Kepler-306 d,Kepler-306,Transit,2014,535.0
Kepler-177 c,Kepler-177,Transit,2013,497.0
Kepler-1885 b,Kepler-1885,Transit,2021,1205.0
HD 27631 b,HD 27631,Radial Velocity,2012,
Kepler-52 c,Kepler-52,Transit,2012,433.0
Kepler-572 b,Kepler-572,Transit,2016,553.0
Kepler-1450 b,Kepler-1450,Transit,2016,308.0
Kepler-635 b,Kepler-635,Transit,2016,802.0
TOI-1803 c,TOI-1803,Transit,2025,588.0
Kepler-882 b,Kepler-882,Transit,2016,903.0
HD 10180 f,HD 10180,Radial Velocity,2010,
HD 204313 c,HD 204313,Radial Velocity,2015,
Kepler-559 b,Kepler-559,Transit,2016,706.0
HD 141399 b,HD 141399,Radial Velocity,2014,
Kepler-83 d,Kepler-83,Transit,2014,569.0
Kepler-31 c,Kepler-31,Transit,2011,615.0
Kepler-143 c,Kepler-143,Transit,2014,703.0
TOI-4773 b,TOI-4773,Transit,2025,2255.0
HD 108341 b,HD 108341,Radial Velocity,2014,
Kepler-1312 b,Kepler-1312,Transit,2016,978.0
WASP-22 b,WASP-22,Transit,2010,1502.0
Kepler-272 b,Kepler-272,Transit,2014,1200.0
Kepler-1116 b,Kepler-1116,Transit,2016,488.0
ups Leo b,ups Leo,Radial Velocity,2021,
Kepler-342 b,Kepler-342,Transit,2014,905.0
Kepler-35 b,Kepler-35,Transit,2011,
Kepler-1511 b,Kepler-1511,Transit,2016,903.0
Kepler-58 c,Kepler-58,Transit,2012,799.0
HD 238914 b,HD 238914,Radial Velocity,2018,
HD 102117 b,HD 102117,Radial Velocity,2005,
TOI-2260 b,TOI-2260,Transit,2022,2609.0
TOI-500 b,TOI-500,Transit,2022,1617.0
WASP-34 b,WASP-34,Transit,2010,1250.0
OGLE-2018-BLG-0977L b,OGLE-2018-BLG-0977L,Microlensing,2022,
HD 260655 c,HD 260655,Transit,2022,557.0
KMT-2024-BLG-1044L b,KMT-2024-BLG-1044L,Microlensing,2024,
TOI-3693 b,TOI-3693,Transit,2022,801.0
TOI-2537 c,TOI-2537,Radial Velocity,2024,123.1
Kepler-1426 b,Kepler-1426,Transit,2016,797.0
K2-352 c,K2-352,Transit,2021,885.0
Kepler-1988 b,Kepler-1988,Transit,2023,1105.0
Kepler-622 b,Kepler-622,Transit,2016,446.0
OGLE-2019-BLG-0249L b,OGLE-2019-BLG-0249L,Microlensing,2023,
HD 48948 d,HD 48948,Radial Velocity,2024,349.0
TOI-1408 c,TOI-1408,Transit Timing Variations,2024,1864.0
Kepler-968 c,Kepler-968,Transit,2016,644.0
Kepler-227 c,Kepler-227,Transit,2014,443.0
HD 165131 b,HD 165131,Radial Velocity,2023,
TOI-1685 b,TOI-1685,Transit,2021,1062.0
HIP 86221 b,HIP 86221,Radial Velocity,2021,
Kepler-678 b,Kepler-678,Transit,2016,833.0
K2-380 b,K2-380,Transit,2022,
TYC 4282-00605-1 b,TYC 4282-00605-1,Radial Velocity,2017,
Kepler-785 b,Kepler-785,Transit,2016,753.0
Kepler-1268 b,Kepler-1268,Transit,2016,627.0
Kepler-144 c,Kepler-144,Transit,2014,1046.0
Kepler-427 b,Kepler-427,Transit,2014,1100.0
TOI-1298 b,TOI-1298,Transit,2021,1278.0
OGLE-2016-BLG-1067L b,OGLE-2016-BLG-1067L,Microlensing,2019,
K2-47 b,K2-47,Transit,2016,
eps Tau b,eps Tau,Radial Velocity,2006,
Kepler-1874 b,Kepler-1874,Transit,2021,356.0
Kepler-44 b,Kepler-44,Transit,2011,1544.0
OGLE-2005-BLG-390L b,OGLE-2005-BLG-390L,Microlensing,2005,50.0
Kepler-1535 b,Kepler-1535,Transit,2016,384.0
HD 93385 c,HD 93385,Radial Velocity,2021,
K2-88 b,K2-88,Transit,2016,
K2-266 c,K2-266,Transit,2018,664.5
Kepler-1460 b,Kepler-1460,Transit,2016,391.0
OGLE-2014-BLG-0319L b,OGLE-2014-BLG-0319L,Microlensing,2022,
K2-368 c,K2-368,Transit,2022,
WASP-94 B b,WASP-94 B,Radial Velocity,2014,
Teegarden's Star b,Teegarden's Star,Radial Velocity,2019,277.0
TOI-5634 A b,TOI-5634 A,Transit,2024,837.0
TOI-2346 b,TOI-2346,Transit,2025,1689.0
Kepler-260 c,Kepler-260,Transit,2014,372.0
Kepler-41 b,Kepler-41,Transit,2011,1790.0
GJ 667 C e,GJ 667 C,Radial Velocity,2013,
Kepler-94 c,Kepler-94,Radial Velocity,2014,
Kepler-164 d,Kepler-164,Transit,2014,637.0
HAT-P-37 b,HAT-P-37,Transit,2011,1271.0
Kepler-431 c,Kepler-431,Transit,2015,951.0
Kepler-478 b,Kepler-478,Transit,2016,640.0
KMT-2019-BLG-1806L b,KMT-2019-BLG-1806L,Microlensing,2023,
Kepler-140 c,Kepler-140,Transit,2014,428.0
Kepler-247 c,Kepler-247,Transit,2014,686.0
Kepler-32 b,Kepler-32,Transit,2011,514.0
TIC 279401253 b,TIC 279401253,Transit,2023,
Kepler-1015 b,Kepler-1015,Transit,2016,1040.0
Kepler-1818 b,Kepler-1818,Transit,2021,1209.0
K2-193 b,K2-193,Transit,2018,739.0
Kepler-1789 b,Kepler-1789,Transit,2021,380.0
OGLE-2007-BLG-368L b,OGLE-2007-BLG-368L,Microlensing,2009,
HD 15906 c,HD 15906,Transit,2023,532.0
HD 7924 b,HD 7924,Radial Velocity,2008,825.9
TOI-6109 b,TOI-6109,Transit,2025,700.0
HD 133131 B b,HD 133131 B,Radial Velocity,2016,
GJ 2030 b,GJ 2030,Radial Velocity,2022,
Kepler-19 c,Kepler-19,Transit Timing Variations,2011,
HD 79181 b,HD 79181,Radial Velocity,2021,
TOI-871 b,TOI-871,Transit,2024,621.0
WASP-124 b,WASP-124,Transit,2016,1400.0
GJ 251 c,GJ 251,Radial Velocity,2025,216.0
OGLE-2018-BLG-0532L b,OGLE-2018-BLG-0532L,Microlensing,2020,
HD 85390 b,HD 85390,Radial Velocity,2009,
Kepler-1727 b,Kepler-1727,Transit,2021,757.0
Kepler-1649 b,Kepler-1649,Transit,2017,307.0
TOI-1238 c,TOI-1238,Transit,2022,695.0
Kapteyn c,Kapteyn,Radial Velocity,2014,
Kepler-1518 c,Kepler-1518,Transit,2023,1094.0
ITG 15 b,ITG 15 A,Imaging,2024,2601.0
Kepler-1218 b,Kepler-1218,Transit,2016,684.0
KIC 10001893 d,KIC 10001893,Orbital Brightness Modulation,2014,
Kepler-767 b,Kepler-767,Transit,2016,366.0
TOI-2986 b,TOI-2986,Transit,2025,1622.0
Kepler-1541 b,Kepler-1541,Transit,2016,1048.0
K2-83 b,K2-83,Transit,2016,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016,
Kepler-531 b,Kepler-531,Transit,2016,453.0
HAT-P-63 b,HAT-P-63,Transit,2021,1237.0
Kepler-1182 b,Kepler-1182,Transit,2016,796.0
TOI-700 e,TOI-700,Transit,2023,272.9
Kepler-727 b,Kepler-727,Transit,2016,964.0
KELT-3 b,KELT-3,Transit,2013,1816.0
Kepler-892 b,Kepler-892,Transit,2016,556.0
Kepler-1990 c,Kepler-1990,Transit,2023,1170.0
Kepler-1688 b,Kepler-1688,Transit,2020,772.0
Kepler-1191 b,Kepler-1191,Transit,2016,952.0
Kepler-1891 b,Kepler-1891,Transit,2021,1017.0
Kepler-328 b,Kepler-328,Transit,2013,602.0
KMT-2019-BLG-0842L b,KMT-2019-BLG-0842L,Microlensing,2020,
Kepler-876 b,Kepler-876,Transit,2016,923.0
TOI-4638.01,TOI-4638,Transit,2024,779.83
MOA-2022-BLG-091L b,MOA-2022-BLG-091L,Microlensing,2025,
Kepler-511 c,Kepler-511,Transit,2021,742.0
Kepler-1337 b,Kepler-1337,Transit,2016,437.0
KMT-2021-BLG-2294L b,KMT-2021-BLG-2294L,Microlensing,2022,
K2-198 b,K2-198,Transit,2018,715.8
HD 81040 b,HD 81040,Radial Velocity,2005,
Kepler-1456 b,Kepler-1456,Transit,2016,433.0
GJ 1252 b,GJ 1252,Transit,2020,1089.0
Kepler-357 b,Kepler-357,Transit,2014,793.0
Kepler-224 b,Kepler-224,Transit,2014,937.0
Kepler-1997 b,Kepler-1997,Transit,2023,660.0
WASP-107 b,WASP-107,Transit,2017,736.0
TOI-1062 c,TOI-1062,Radial Velocity,2021,859.0
Kepler-1366 b,Kepler-1366,Transit,2016,783.0
Kepler-296 c,Kepler-296,Transit,2014,606.0
TOI-5678 b,TOI-5678,Transit,2023,513.0
Kepler-23 d,Kepler-23,Transit,2014,896.0
Kepler-1593 b,Kepler-1593,Transit,2016,260.0
LHS 475 b,LHS 475,Transit,2023,586.0
Kepler-1510 b,Kepler-1510,Transit,2016,537.0
Kepler-625 b,Kepler-625,Transit,2016,852.0
TOI-2196 b,TOI-2196,Transit,2022,1860.0
Kepler-1814 b,Kepler-1814,Transit,2021,1022.0
Kepler-1302 b,Kepler-1302,Transit,2016,778.0
HD 98219 b,HD 98219,Radial Velocity,2011,
K2-129 b,K2-129,Transit,2017,
Kepler-977 b,Kepler-977,Transit,2016,544.0
TOI-1411 b,TOI-1411,Transit,2022,976.4
Kepler-1004 b,Kepler-1004,Transit,2016,1661.0
GJ 393 b,GJ 393,Radial Velocity,2021,485.0
Kepler-165 c,Kepler-165,Transit,2014,581.0
Kepler-1178 b,Kepler-1178,Transit,2016,378.0
KMT-2019-BLG-0371L b,KMT-2019-BLG-0371L,Microlensing,2021,
EPIC 201170410.02,EPIC 201170410,Transit,2020,
Kepler-1500 b,Kepler-1500,Transit,2016,928.0
Kepler-1911 b,Kepler-1911,Transit,2021,987.0
K2-407 b,K2-407,Transit,2022,
Kepler-371 b,Kepler-371,Transit,2014,554.0
K2-155 d,K2-155,Transit,2018,381.0
TOI-3023 b,TOI-3023,Transit,2023,1596.0
K2-340 b,K2-340,Transit,2021,606.0
Kepler-46 d,Kepler-46,Transit,2014,845.0
HD 158038 b,HD 158038,Radial Velocity,2011,
HD 13167 b,HD 13167,Radial Velocity,2018,
K2-255 b,K2-255,Transit,2018,1034.0
Kepler-1678 b,Kepler-1678,Transit,2020,329.0
TIC 434398831 b,TIC 434398831,Transit,2025,1250.0
Kepler-432 c,Kepler-432,Radial Velocity,2015,
HD 224018 b,HD 224018,Radial Velocity,2025,968.0
HD 102843 b,HD 102843,Radial Velocity,2019,
Kepler-1334 b,Kepler-1334,Transit,2016,710.0
Gl 378 b,Gl 378,Radial Velocity,2019,830.0
HD 148164 c,HD 148164,Radial Velocity,2018,
HD 207832 b,HD 207832,Radial Velocity,2012,
Kepler-1598 b,Kepler-1598,Transit,2016,1236.0
Kepler-480 b,Kepler-480,Transit,2016,1312.0
HD 28185 b,HD 28185,Radial Velocity,2001,
K2-224 b,K2-224,Transit,2018,1002.0
tau Boo b,tau Boo,Radial Velocity,1996,
Kepler-256 c,Kepler-256,Transit,2014,1315.0
Kepler-1066 b,Kepler-1066,Transit,2016,1290.0
Kepler-1464 b,Kepler-1464,Transit,2016,564.0
Kepler-1644 b,Kepler-1644,Transit,2016,606.0
HD 187085 b,HD 187085,Radial Velocity,2006,
Kepler-1209 b,Kepler-1209,Transit,2016,755.0
Kepler-1953 b,Kepler-1953,Transit,2021,731.0
Kepler-262 c,Kepler-262,Transit,2014,618.0
TOI-1811 b,TOI-1811,Transit,2023,962.2
Kepler-384 b,Kepler-384,Transit,2014,670.0
Kepler-1221 b,Kepler-1221,Transit,2016,632.0
Kepler-1012 b,Kepler-1012,Transit,2016,934.0
Kepler-1249 b,Kepler-1249,Transit,2016,647.0
TIC 393818343 b,TIC 393818343,Transit,2024,805.5
TOI-2641 b,TOI-2641,Transit,2023,1387.0
Kepler-303 b,Kepler-303,Transit,2014,802.0
HATS-65 b,HATS-65,Transit,2018,1634.0
Kepler-255 c,Kepler-255,Transit,2014,807.0
Kepler-805 b,Kepler-805,Transit,2016,743.0
Kepler-357 d,Kepler-357,Transit,2014,402.0
Kepler-1674 b,Kepler-1674,Transit,2020,417.0
Kepler-363 b,Kepler-363,Transit,2014,1347.0
Kepler-1238 b,Kepler-1238,Transit,2016,1389.0
HD 192263 b,HD 192263,Radial Velocity,1999,486.0
17 Sco b,17 Sco,Radial Velocity,2020,
K2-35 c,K2-35,Transit,2016,766.0
TOI-1994 b,TOI-1994,Transit,2024,2290.0
HD 190360 c,HD 190360,Radial Velocity,2005,
Kepler-1940 b,Kepler-1940,Transit,2021,885.0
TOI-3682 b,TOI-3682,Transit,2025,1657.0
TOI-733 b,TOI-733,Transit,2023,1055.8
GJ 667 C f,GJ 667 C,Radial Velocity,2013,
HD 51608 c,HD 51608,Radial Velocity,2019,
Kepler-114 d,Kepler-114,Transit,2013,446.0
Kepler-264 c,Kepler-264,Transit,2014,511.0
Kepler-1084 b,Kepler-1084,Transit,2016,1737.0
Kepler-1242 b,Kepler-1242,Transit,2016,639.0
Kepler-1786 b,Kepler-1786,Transit,2021,501.0
