pl_name,hostname,discoverymethod,disc_year,pl_eqt
Kepler-1156 b,Kepler-1156,Transit,2016,787.0
HR 858 c,HR 858,Transit,2019,1309.0
Kepler-945 b,Kepler-945,Transit,2016,616.0
Kepler-723 b,Kepler-723,Transit,2016,1016.0
Kepler-989 b,Kepler-989,Transit,2016,805.0
HD 165155 b,HD 165155,Radial Velocity,2016,
K2-351 b,K2-351,Transit,2021,934.0
HD 22946 d,HD 22946,Transit,2023,546.0
K2-90 b,K2-90,Transit,2016,502.0
WASP-77 A b,WASP-77 A,Transit,2012,1674.0
GJ 1061 b,GJ 1061,Radial Velocity,2020,
Kepler-102 b,Kepler-102,Transit,2014,857.0
Kepler-1446 b,Kepler-1446,Transit,2016,1539.0
HD 13908 b,HD 13908,Radial Velocity,2013,
HIP 9618 b,HIP 9618,Transit,2023,640.88
HD 202696 c,HD 202696,Radial Velocity,2019,
Kepler-1697 b,Kepler-1697,Transit,2020,630.0
HD 11112 b,HD 11112,Radial Velocity,2022,
Kepler-1764 b,Kepler-1764,Transit,2021,511.0
Kepler-674 b,Kepler-674,Transit,2016,822.0
Kepler-1269 b,Kepler-1269,Transit,2016,657.0
Kepler-634 b,Kepler-634,Transit,2016,1309.0
Kepler-1576 b,Kepler-1576,Transit,2016,1059.0
EPIC 211822797 b,EPIC 211822797,Transit,2016,431.0
Kepler-681 b,Kepler-681,Transit,2016,489.0
Kepler-1796 b,Kepler-1796,Transit,2021,598.0
Kepler-68 b,Kepler-68,Transit,2013,1275.0
Kepler-53 c,Kepler-53,Transit,2012,550.0
Kepler-972 b,Kepler-972,Transit,2016,1060.0
Kepler-1508 b,Kepler-1508,Transit,2016,967.0
Kepler-1652 b,Kepler-1652,Transit,2017,268.0
Kepler-352 b,Kepler-352,Transit,2014,694.0
Kepler-293 c,Kepler-293,Transit,2014,466.0
HD 18742 b,HD 18742,Radial Velocity,2011,
AF Lep b,AF Lep,Imaging,2023,1400.0
Kepler-873 b,Kepler-873,Transit,2016,749.0
Kepler-731 b,Kepler-731,Transit,2016,1212.0
TOI-125 d,TOI-125,Transit,2020,638.1
Kepler-669 b,Kepler-669,Transit,2016,1243.0
Kepler-783 b,Kepler-783,Transit,2016,991.0
KOI-7368 b,KOI-7368,Transit,2022,805.0
EPIC 201833600 c,K2-50,Transit,2019,
TOI-2088 b,TOI-2088,Transit,2024,300.33
GJ 238 b,GJ 238,Transit,2024,758.0
Kepler-142 d,Kepler-142,Transit,2014,582.0
Kepler-1192 b,Kepler-1192,Transit,2016,600.0
Kepler-214 b,Kepler-214,Transit,2014,758.0
Kepler-1297 b,Kepler-1297,Transit,2016,1790.0
HATS-6 b,HATS-6,Transit,2015,712.8
HD 126525 b,HD 126525,Radial Velocity,2018,
Kepler-1354 b,Kepler-1354,Transit,2016,466.0
Kepler-319 d,Kepler-319,Transit,2014,528.0
Kepler-1427 b,Kepler-1427,Transit,2016,1844.0
Kepler-1959 b,Kepler-1959,Transit,2021,811.0
HD 109271 b,HD 109271,Radial Velocity,2013,
HD 100546 b,HD 100546,Imaging,2014,
HD 158996 b,HD 158996,Radial Velocity,2018,
Kepler-1897 b,Kepler-1897,Transit,2021,505.0
Kepler-1264 b,Kepler-1264,Transit,2016,1677.0
TOI-178 f,TOI-178,Transit,2021,521.0
Kepler-452 b,Kepler-452,Transit,2015,265.0
HD 100777 b,HD 100777,Radial Velocity,2007,
Kepler-553 b,Kepler-553,Transit,2016,1089.0
CI Tau c,CI Tau,Radial Velocity,2024,
Kepler-259 b,Kepler-259,Transit,2014,879.0
HD 31527 c,HD 31527,Radial Velocity,2019,
WASP-82 b,WASP-82,Transit,2015,2190.0
WASP-15 b,WASP-15,Transit,2009,1676.0
K2-154 b,K2-154,Transit,2018,715.0
K2-44 b,K2-44,Transit,2016,1211.0
Kepler-1869 c,Kepler-1869,Transit,2023,1455.0
Kepler-240 b,Kepler-240,Transit,2014,864.0
Kepler-1955 b,Kepler-1955,Transit,2021,853.0
Kepler-537 b,Kepler-537,Transit,2016,1181.0
HD 217786 b,HD 217786,Radial Velocity,2011,
Kepler-1968 b,Kepler-1968,Transit,2021,744.0
Kepler-322 c,Kepler-322,Transit,2014,996.0
OGLE-TR-132 b,OGLE-TR-132,Transit,2004,2013.0
M62H b,M62H,Pulsar Timing,2024,
Kepler-601 b,Kepler-601,Transit,2016,833.0
gam Lib b,gam Lib,Radial Velocity,2018,
Kepler-1684 b,Kepler-1684,Transit,2020,347.0
HATS-66 b,HATS-66,Transit,2018,1998.0
HD 136118 b,HD 136118,Radial Velocity,2022,
Kepler-781 b,Kepler-781,Transit,2016,629.0
Kepler-171 b,Kepler-171,Transit,2014,1053.0
Kepler-1021 b,Kepler-1021,Transit,2016,634.0
Kepler-1399 b,Kepler-1399,Transit,2016,1610.0
Kepler-1550 b,Kepler-1550,Transit,2016,348.0
TOI-7041 b,TOI-7041,Transit,2025,882.37
OGLE-2014-BLG-0676L b,OGLE-2014-BLG-0676L,Microlensing,2016,
K2-319 b,K2-319,Transit,2020,641.0
Kepler-414 c,Kepler-414,Transit Timing Variations,2014,890.0
K2-72 b,K2-72,Transit,2016,
Kepler-743 b,Kepler-743,Transit,2016,1101.0
NGTS-32 b,NGTS-32,Transit,2025,1750.0
HD 210193 b,HD 210193,Radial Velocity,2019,
HD 155358 b,HD 155358,Radial Velocity,2007,
TOI-5126 c,TOI-5126,Transit,2023,971.0
Kepler-1952 b,Kepler-1952,Transit,2021,725.0
TOI-406 c,TOI-406,Transit,2024,584.0
Kepler-545 b,Kepler-545,Transit,2016,806.0
KPS-1 b,KPS-1,Transit,2018,1459.0
HD 34445 f,HD 34445,Radial Velocity,2017,
NGTS-25 b,NGTS-25,Transit,2022,1101.0
Kepler-916 b,Kepler-916,Transit,2016,503.0
V0391 Peg b,V0391 Peg,Pulsation Timing Variations,2007,
Kepler-20 e,Kepler-20,Transit,2011,1004.0
TOI-277 b,TOI-277,Transit,2022,587.92
Kepler-1633 b,Kepler-1633,Transit,2016,925.0
HAT-P-13 c,HAT-P-13,Radial Velocity,2009,340.0
L 98-59 f,L 98-59,Radial Velocity,2025,285.0
HD 156846 b,HD 156846,Radial Velocity,2007,
Kepler-242 c,Kepler-242,Transit,2014,613.0
Qatar-5 b,Qatar-5,Transit,2017,1415.0
TOI-2025 b,TOI-2025,Transit,2022,1166.0
K2-348 c,K2-348,Transit,2021,655.0
K2-132 b,K2-132,Transit,2017,1586.0
Kepler-399 c,Kepler-399,Transit,2014,630.0
Kepler-845 b,Kepler-845,Transit,2016,1361.0
WASP-76 b,WASP-76,Transit,2016,2228.0
KELT-15 b,KELT-15,Transit,2016,1642.0
Kepler-1919 b,Kepler-1919,Transit,2021,479.0
Kepler-1130 b,Kepler-1130,Transit,2016,904.0
HD 13808 b,HD 13808,Radial Velocity,2021,
K2-290 c,K2-290,Transit,2019,676.0
HD 192310 c,HD 192310,Radial Velocity,2011,185.0
TOI-1716.01,TOI-1716,Transit,2024,959.0
HIP 56640 b,HIP 56640,Radial Velocity,2021,
Kepler-1038 c,Kepler-1038,Transit,2021,784.0
Kepler-1878 b,Kepler-1878,Transit,2021,1063.0
HD 109271 c,HD 109271,Radial Velocity,2013,
TOI-2443 b,TOI-2443,Transit,2023,519.0
K2-202 b,K2-202,Transit,2018,
HD 219139 b,HD 219139,Radial Velocity,2021,
HATS-41 b,HATS-41,Transit,2018,1710.0
HD 45350 b,HD 45350,Radial Velocity,2004,
TOI-2384 b,TOI-2384,Transit,2024,889.7
GJ 3323 b,GJ 3323,Radial Velocity,2017,
Kepler-1020 b,Kepler-1020,Transit,2016,325.0
Kepler-682 b,Kepler-682,Transit,2016,753.0
Kepler-1447 b,Kepler-1447,Transit,2016,522.0
TOI-1470 c,TOI-1470,Transit,2023,373.0
K2-178 b,K2-178,Transit,2018,840.29
HD 74698 c,HD 74698,Radial Velocity,2023,
KMT-2016-BLG-1397L b,KMT-2016-BLG-1397L,Microlensing,2018,
HD 284149 AB b,HD 284149 A,Imaging,2017,2395.0
K2-194 b,K2-194,Transit,2018,
HATS-77 b,HATS-77,Transit,2021,828.3
Kepler-915 b,Kepler-915,Transit,2016,1319.0
TOI-4379 b,TOI-4379,Transit,2024,1869.38
OGLE-2003-BLG-235L b,OGLE-2003-BLG-235L,Microlensing,2004,
HATS-58 A b,HATS-58 A,Transit,2019,1721.0
WASP-142 b,WASP-142,Transit,2016,2000.0
Kepler-597 b,Kepler-597,Transit,2016,743.0
TIC 241249530 b,TIC 241249530,Transit,2024,
HD 29021 b,HD 29021,Radial Velocity,2017,
TOI-3261 b,TOI-3261,Transit,2024,1722.0
GJ 682 b,GJ 682,Radial Velocity,2014,
HAT-P-59 b,HAT-P-59,Transit,2021,1277.8
KMT-2021-BLG-1554L b,KMT-2021-BLG-1554L,Microlensing,2022,
WASP-53 b,WASP-53,Transit,2017,1053.0
Kepler-1857 b,Kepler-1857,Transit,2021,946.0
Kepler-342 c,Kepler-342,Transit,2014,754.0
Kepler-1251 b,Kepler-1251,Transit,2016,487.0
Kepler-910 b,Kepler-910,Transit,2016,1752.0
KOI-94 b,KOI-94,Transit,2013,1486.0
OGLE-2015-BLG-1649L b,OGLE-2015-BLG-1649L,Microlensing,2019,
Kepler-242 b,Kepler-242,Transit,2014,742.0
K2-268 d,K2-268,Transit,2021,888.0
TOI-220 b,TOI-220,Transit,2021,805.0
Kepler-374 d,Kepler-374,Transit,2014,1272.0
HD 102195 b,HD 102195,Radial Velocity,2006,
Kepler-1870 b,Kepler-1870,Transit,2021,1046.0
