pl_name,hostname,discoverymethod,disc_year,pl_eqt
Kepler-601 b,Kepler-601,Transit,2016,833
Kepler-1684 b,Kepler-1684,Transit,2020,347
HATS-66 b,HATS-66,Transit,2018,1998
Kepler-781 b,Kepler-781,Transit,2016,629
Kepler-171 b,Kepler-171,Transit,2014,1053
Kepler-1021 b,Kepler-1021,Transit,2016,634
Kepler-1399 b,Kepler-1399,Transit,2016,1610
Kepler-1550 b,Kepler-1550,Transit,2016,348
TOI-7041 b,TOI-7041,Transit,2025,882.37
K2-319 b,K2-319,Transit,2020,641
Kepler-414 c,Kepler-414,Transit Timing Variations,2014,890
Kepler-743 b,Kepler-743,Transit,2016,1101
NGTS-32 b,NGTS-32,Transit,2025,1750
TOI-5126 c,TOI-5126,Transit,2023,971
Kepler-1952 b,Kepler-1952,Transit,2021,725
TOI-406 c,TOI-406,Transit,2024,584
Kepler-545 b,Kepler-545,Transit,2016,806
KPS-1 b,KPS-1,Transit,2018,1459
NGTS-25 b,NGTS-25,Transit,2022,1101
Kepler-916 b,Kepler-916,Transit,2016,503
Kepler-20 e,Kepler-20,Transit,2011,1004
TOI-277 b,TOI-277,Transit,2022,587.92
Kepler-1633 b,Kepler-1633,Transit,2016,925
HAT-P-13 c,HAT-P-13,Radial Velocity,2009,340
L 98-59 f,L 98-59,Radial Velocity,2025,285
Kepler-242 c,Kepler-242,Transit,2014,613
Qatar-5 b,Qatar-5,Transit,2017,1415
TOI-2025 b,TOI-2025,Transit,2022,1166
K2-348 c,K2-348,Transit,2021,655
K2-132 b,K2-132,Transit,2017,1586
Kepler-399 c,Kepler-399,Transit,2014,630
Kepler-845 b,Kepler-845,Transit,2016,1361
WASP-76 b,WASP-76,Transit,2016,2228
KELT-15 b,KELT-15,Transit,2016,1642
Kepler-1919 b,Kepler-1919,Transit,2021,479
Kepler-1130 b,Kepler-1130,Transit,2016,904
K2-290 c,K2-290,Transit,2019,676
HD 192310 c,HD 192310,Radial Velocity,2011,185
TOI-1716.01,TOI-1716,Transit,2024,959
Kepler-1038 c,Kepler-1038,Transit,2021,784
Kepler-1878 b,Kepler-1878,Transit,2021,1063
TOI-2443 b,TOI-2443,Transit,2023,519
HATS-41 b,HATS-41,Transit,2018,1710
TOI-2384 b,TOI-2384,Transit,2024,889.7
Kepler-1020 b,Kepler-1020,Transit,2016,325
Kepler-682 b,Kepler-682,Transit,2016,753
Kepler-1447 b,Kepler-1447,Transit,2016,522
TOI-1470 c,TOI-1470,Transit,2023,373
K2-178 b,K2-178,Transit,2018,840.29
HD 284149 AB b,HD 284149 A,Imaging,2017,2395
HATS-77 b,HATS-77,Transit,2021,828.3
Kepler-915 b,Kepler-915,Transit,2016,1319
TOI-4379 b,TOI-4379,Transit,2024,1869.38
HATS-58 A b,HATS-58 A,Transit,2019,1721
WASP-142 b,WASP-142,Transit,2016,2000
Kepler-597 b,Kepler-597,Transit,2016,743
TOI-3261 b,TOI-3261,Transit,2024,1722
HAT-P-59 b,HAT-P-59,Transit,2021,1277.8
WASP-53 b,WASP-53,Transit,2017,1053
Kepler-1857 b,Kepler-1857,Transit,2021,946
Kepler-342 c,Kepler-342,Transit,2014,754
Kepler-1251 b,Kepler-1251,Transit,2016,487
Kepler-910 b,Kepler-910,Transit,2016,1752
KOI-94 b,KOI-94,Transit,2013,1486
Kepler-242 b,Kepler-242,Transit,2014,742
K2-268 d,K2-268,Transit,2021,888
TOI-220 b,TOI-220,Transit,2021,805
Kepler-374 d,Kepler-374,Transit,2014,1272
Kepler-1870 b,Kepler-1870,Transit,2021,1046
Kepler-258 b,Kepler-258,Transit,2014,642
K2-8 c,K2-8,Transit,2016,801
Kepler-849 b,Kepler-849,Transit,2016,362.7
WASP-8 b,WASP-8,Transit,2010,1059
Kepler-92 b,Kepler-92,Transit,2013,975
Kepler-1339 b,Kepler-1339,Transit,2016,1642
Kepler-405 c,Kepler-405,Transit,2014,557
TOI-139 b,TOI-139,Transit,2023,561.17
K2-223 b,K2-223,Transit,2018,2271
Kepler-244 b,Kepler-244,Transit,2014,1038
Kepler-1065 c,Kepler-1065,Transit,2016,1256
TOI-4087 b,TOI-4087,Transit,2023,1458
TOI-6086 b,TOI-6086,Transit,2024,634
Kepler-46 b,Kepler-46,Transit,2012,543
TOI-3071 b,TOI-3071,Transit,2024,2155
Kepler-145 c,Kepler-145,Transit,2013,709
HAT-P-66 b,HAT-P-66,Transit,2016,1896
Kepler-144 b,Kepler-144,Transit,2014,1253
Kepler-251 e,Kepler-251,Transit,2014,360
HD 101581 c,HIP 56998,Transit,2025,747
HD 20329 b,HD 20329,Transit,2022,2141
TOI-406.01,TOI-406,Transit,2024,368
Kepler-1658 b,Kepler-1658,Transit,2019,2034
Kepler-1292 b,Kepler-1292,Transit,2016,1195
Kepler-196 d,Kepler-196,Transit,2021,297
Kepler-549 d,Kepler-549,Transit,2023,586
HIP 65 A b,HIP 65 A,Transit,2020,1411
Kepler-235 e,Kepler-235,Transit,2014,306
Kepler-1906 b,Kepler-1906,Transit,2021,901
HD 40307 c,HD 40307,Radial Velocity,2009,696
Kepler-1013 b,Kepler-1013,Transit,2016,766
TOI-1052 c,TOI-1052,Radial Velocity,2023,719
HAT-P-29 b,HAT-P-29,Transit,2011,1271
YZ Cet c,YZ Cet,Radial Velocity,2017,410.3
Kepler-434 b,Kepler-434,Transit,2015,1000
Kepler-405 b,Kepler-405,Transit,2014,785
Kepler-1883 b,Kepler-1883,Transit,2021,416
Kepler-1471 b,Kepler-1471,Transit,2016,1238
Kepler-313 b,Kepler-313,Transit,2014,883
Kepler-1442 b,Kepler-1442,Transit,2016,522
Kepler-1421 b,Kepler-1421,Transit,2016,1209
Kepler-292 d,Kepler-292,Transit,2014,808
V1298 Tau e,V1298 Tau,Transit,2019,492
WISEP J121756.91+162640.2 A b,WISEP J121756.91+162640.2 A,Imaging,2012,450
Kepler-692 b,Kepler-692,Transit,2016,639
TIC 139270665 b,TIC 139270665,Transit,2024,703
Kepler-1372 b,Kepler-1372,Transit,2016,1655
Kepler-1193 b,Kepler-1193,Transit,2016,1453
Kepler-84 f,Kepler-84,Transit,2014,572
Kepler-205 c,Kepler-205,Transit,2014,389
Kepler-1507 b,Kepler-1507,Transit,2016,630
Kepler-838 b,Kepler-838,Transit,2016,777
Kepler-702 b,Kepler-702,Transit,2016,713
K2-417 b,K2-417,Transit,2023,558
K2-332 b,K2-332,Transit,2021,266
Kepler-1058 b,Kepler-1058,Transit,2016,239
TOI-4214 b,TOI-4214,Transit,2025,1642
Kepler-391 b,Kepler-391,Transit,2014,930
Kepler-698 b,Kepler-698,Transit,2016,727
Kepler-186 c,Kepler-186,Transit,2014,464
TOI-1794 b,TOI-1794,Transit,2024,992.91
TOI-3877 b,TOI-3877,Transit,2025,1445
Kepler-339 b,Kepler-339,Transit,2014,1023
K2-228 b,K2-228,Transit,2018,914
Kepler-409 b,Kepler-409,Transit,2014,438
Kepler-273 b,Kepler-273,Transit,2014,1209
HIP 41378 b,HIP 41378,Transit,2016,959
Kepler-1805 b,Kepler-1805,Transit,2021,479
TOI-261.01,TOI-261,Transit,2024,1722.49
TOI-1201 b,TOI-1201,Transit,2021,703
Kepler-636 b,Kepler-636,Transit,2016,614
Kepler-1914 b,Kepler-1914,Transit,2021,585
K2-286 b,K2-286,Transit,2018,347
Kepler-370 b,Kepler-370,Transit,2014,1040
TOI-125 b,TOI-125,Transit,2019,1037
TOI-559 b,TOI-559,Transit,2021,1180
pi Men c,HD 39091,Transit,2018,1169.8
Kepler-150 c,Kepler-150,Transit,2014,876
Kepler-224 c,Kepler-224,Transit,2014,758
HATS-43 b,HATS-43,Transit,2018,1003
Kepler-956 b,Kepler-956,Transit,2016,1056
Kepler-1052 b,Kepler-1052,Transit,2016,522
TOI-1437 b,TOI-1437,Transit,2024,794.23
Kepler-685 b,Kepler-685,Transit,2016,1579
Kepler-1405 b,Kepler-1405,Transit,2016,565
GJ 806 b,GJ 806,Transit,2023,940
WASP-49 b,WASP-49,Transit,2012,1400
Kepler-1699 b,Kepler-1699,Transit,2020,1010
HAT-P-13 b,HAT-P-13,Transit,2009,1740
HATS-63 b,HATS-63,Transit,2018,1398.3
TOI-5795 b,TOI-5795,Transit,2025,1136.78
Kepler-1152 b,Kepler-1152,Transit,2016,806
Kepler-1391 b,Kepler-1391,Transit,2016,513
TOI-2406 b,TOI-2406,Transit,2021,449
Kepler-25 c,Kepler-25,Transit,2011,934
TOI-1052 b,TOI-1052,Transit,2023,1135
Kepler-1813 b,Kepler-1813,Transit,2021,1059
TOI-1174 b,TOI-1174,Transit,2024,713.83
Kepler-156 b,Kepler-156,Transit,2014,867
Kepler-1315 b,Kepler-1315,Transit,2016,1541
Kepler-425 b,Kepler-425,Transit,2014,1070
Kepler-477 b,Kepler-477,Transit,2016,649
WASP-66 b,WASP-66,Transit,2012,1569.7
Kepler-197 b,Kepler-197,Transit,2014,1142
Kepler-275 b,Kepler-275,Transit,2014,1015
Kepler-1271 b,Kepler-1271,Transit,2016,1484
HATS-64 b,HATS-64,Transit,2018,1793
Kepler-790 b,Kepler-790,Transit,2016,634
TOI-2876 b,TOI-2876,Transit,2025,929
Kepler-395 b,Kepler-395,Transit,2014,576
Kepler-80 f,Kepler-80,Transit,2016,1054
TOI-1011 b,TOI-1011,Transit,2025,1364
Kepler-397 b,Kepler-397,Transit,2014,539
TOI-1846 b,TOI-1846,Transit,2025,568.1
Kepler-967 b,Kepler-967,Transit,2016,638
HIP 94235 b,HIP 94235,Transit,2022,1060
Kepler-1957 b,Kepler-1957,Transit,2021,1099
Kepler-515 b,Kepler-515,Transit,2016,564
GU Psc b,GU Psc,Imaging,2014,1050
K2-98 b,K2-98,Transit,2016,1185
Kepler-113 c,Kepler-113,Transit,2014,628
G 261-6 b,G 261-6,Radial Velocity,2025,322.3
Kepler-219 b,Kepler-219,Transit,2014,1307
KOI-351 c,KOI-351,Transit,2013,987
Kepler-610 b,Kepler-610,Transit,2016,888
K2-278 b,K2-278,Transit,2018,1711
Kepler-297 c,Kepler-297,Transit,2014,409
Kepler-1314 b,Kepler-1314,Transit,2016,625
Kepler-1053 b,Kepler-1053,Transit,2016,953
Kepler-33 e,Kepler-33,Transit,2011,752
Kepler-1313 b,Kepler-1313,Transit,2016,1012
Kepler-1932 b,Kepler-1932,Transit,2021,1891
Kepler-1791 b,Kepler-1791,Transit,2021,1021
Kepler-340 c,Kepler-340,Transit,2014,946
Kepler-1163 b,Kepler-1163,Transit,2016,1211
TOI-2068 b,TOI-2068,Transit,2024,520.62
Kepler-1382 b,Kepler-1382,Transit,2016,959
