pl_name,hostname,discoverymethod,disc_year,pl_eqt,st_teff
TOI-4559 b,TOI-4559,Transit,2024,554.16,3558.0
Kepler-292 f,Kepler-292,Transit,2014,563.0,5299.0
WASP-25 b,WASP-25,Transit,2010,1217.0,5750.0
Kepler-184 c,Kepler-184,Transit,2014,630.0,5788.0
XO-6 b,XO-6,Transit,2016,1577.0,6720.0
Kepler-1859 b,Kepler-1859,Transit,2021,1455.0,5845.23
TOI-3912 b,TOI-3912,Transit,2023,1512.0,5725.0
Kepler-105 c,Kepler-105,Transit,2014,997.0,5827.0
K2-261 b,K2-261,Transit,2018,1036.0,5537.0
TOI-700 c,TOI-700,Transit,2020,356.0,3480.0
Kepler-128 b,Kepler-128,Transit,2013,968.0,6013.0
HATS-34 b,HATS-34,Transit,2016,1445.0,5380.0
TOI-771 b,TOI-771,Transit,2024,543.0,3201.0
Kepler-1693 b,Kepler-1693,Transit,2020,807.0,5432.34
Kepler-256 d,Kepler-256,Transit,2014,1097.0,5551.0
Kepler-214 c,Kepler-214,Transit,2014,619.0,6169.0
TOI-2421 b,TOI-2421,Transit,2022,1534.0,5645.0
Kepler-323 c,Kepler-323,Transit,2014,1431.0,5987.0
Kepler-491 b,Kepler-491,Transit,2016,1111.0,5582.0
Kepler-1849 b,Kepler-1849,Transit,2021,355.0,4687.0
HATS-17 b,HATS-17,Transit,2016,814.0,5846.0
Kepler-316 c,Kepler-316,Transit,2014,577.0,4204.0
Kepler-533 b,Kepler-533,Transit,2016,423.0,4758.0
Kepler-392 c,Kepler-392,Transit,2014,901.0,5938.0
K2-123 b,K2-123,Transit,2017,338.0,4035.0
Kepler-315 c,Kepler-315,Transit,2014,291.0,5796.0
LHS 1478 b,LHS 1478,Transit,2021,595.0,3381.0
Kepler-1543 b,Kepler-1543,Transit,2016,1774.0,6561.0
CoRoT-10 b,CoRoT-10,Transit,2010,600.0,5075.0
TOI-1136 c,TOI-1136,Transit,2022,1062.0,5770.0
Kepler-1470 b,Kepler-1470,Transit,2016,574.0,4961.0
K2-251 b,K2-251,Transit,2018,437.0,3717.0
TOI-1249 b,TOI-1249,Transit,2024,726.89,5453.0
Kepler-715 b,Kepler-715,Transit,2016,876.0,5871.0
TOI-5803 b,TOI-5803,Transit,2023,678.87,5134.0
TOI-969 b,TOI-969,Transit,2022,941.0,4435.0
K2-224 c,K2-224,Transit,2018,764.0,5620.0
Kepler-94 b,Kepler-94,Transit,2014,997.0,4781.0
Kepler-700 b,Kepler-700,Transit,2016,452.0,5692.0
Kepler-472 b,Kepler-472,Transit,2016,876.0,4996.0
Kepler-1444 b,Kepler-1444,Transit,2016,581.0,5810.0
Kepler-1129 b,Kepler-1129,Transit,2016,737.0,5831.0
Kepler-824 b,Kepler-824,Transit,2016,1231.0,6035.0
Kepler-325 d,Kepler-325,Transit,2014,498.0,5752.0
Kepler-298 b,Kepler-298,Transit,2014,540.0,4465.0
TOI-2136 b,TOI-2136,Transit,2022,395.0,3342.0
K2-168 b,K2-168,Transit,2018,766.35,5502.7
Kepler-1236 b,Kepler-1236,Transit,2016,480.0,5337.0
Kepler-1275 b,Kepler-1275,Transit,2016,1368.0,6296.0
Kepler-62 d,Kepler-62,Transit,2013,510.0,4925.0
Kepler-720 b,Kepler-720,Transit,2016,1162.0,5618.0
Kepler-1690 b,Kepler-1690,Transit,2020,267.0,5336.5
Kepler-282 c,Kepler-282,Transit,2014,717.0,5602.0
Kepler-811 b,Kepler-811,Transit,2016,730.0,5747.0
HAT-P-6 b,HAT-P-6,Transit,2007,1675.0,6570.0
Kepler-1118 b,Kepler-1118,Transit,2016,502.0,5688.0
TRAPPIST-1 g,TRAPPIST-1,Transit,2017,197.3,2560.0
Kepler-150 b,Kepler-150,Transit,2014,1131.0,5560.0
Kepler-1428 b,Kepler-1428,Transit,2016,1049.0,6184.0
Kepler-982 b,Kepler-982,Transit,2016,955.0,6139.0
Kepler-1133 b,Kepler-1133,Transit,2016,703.0,5569.0
Kepler-1841 b,Kepler-1841,Transit,2021,542.0,5315.0
TOI-5261 b,TOI-5261,Transit,2025,1244.0,5790.0
K2-322 b,K2-322,Transit,2020,635.0,4141.0
K2-293 b,K2-293,Transit,2019,750.0,5532.0
Kepler-1307 b,Kepler-1307,Transit,2016,768.0,5884.0
Kepler-1195 b,Kepler-1195,Transit,2016,702.0,4965.0
HATS-44 b,HATS-44,Transit,2018,1161.0,5080.0
Kepler-168 c,Kepler-168,Transit,2014,862.0,6282.0
Kepler-325 c,Kepler-325,Transit,2014,721.0,5752.0
K2-244 b,K2-244,Transit,2018,638.0,5677.0
Kepler-701 b,Kepler-701,Transit,2016,777.0,5343.0
Kepler-1816 b,Kepler-1816,Transit,2021,310.0,4906.0
Kepler-1515 b,Kepler-1515,Transit,2016,380.0,6511.0
TOI-5616 b,TOI-5616,Transit,2024,939.0,3996.0
Kepler-1723 b,Kepler-1723,Transit,2021,568.0,5665.31
Kepler-1176 b,Kepler-1176,Transit,2016,595.0,5844.0
Kepler-990 c,Kepler-990,Transit,2016,2386.0,5521.54
Kepler-1783 b,Kepler-1783,Transit,2021,1088.0,5111.02
TOI-4504 c,TOI-4504,Transit,2024,182.8,5315.0
Kepler-386 c,Kepler-386,Transit,2014,513.0,5178.0
Kepler-106 d,Kepler-106,Transit,2014,649.0,5858.0
TOI-2194 b,TOI-2194,Transit,2023,590.88,4669.0
Kepler-189 b,Kepler-189,Transit,2014,678.0,5235.0
Kepler-1993 b,Kepler-1993,Transit,2023,903.0,4939.47
Kepler-207 b,Kepler-207,Transit,2014,1930.0,5920.0
Kepler-163 b,Kepler-163,Transit,2014,906.0,5410.9
HD 149026 b,HD 149026,Radial Velocity,2005,1626.0,6147.0
GJ 9689 b,GJ 9689,Radial Velocity,2020,453.04,3836.0
TOI-1693 b,TOI-1693,Transit,2022,764.0,3499.0
HATS-42 b,HATS-42,Transit,2018,1856.0,6060.0
Kepler-837 b,Kepler-837,Transit,2016,701.0,5403.0
Kepler-1154 b,Kepler-1154,Transit,2016,1314.0,6327.0
Kepler-169 d,Kepler-169,Transit,2014,702.0,4997.0
Kepler-919 b,Kepler-919,Transit,2016,869.0,6113.0
Kepler-875 b,Kepler-875,Transit,2016,569.0,5958.0
Kepler-653 c,Kepler-653,Transit,2016,2078.0,5665.0
Kepler-191 d,Kepler-191,Transit,2016,857.0,5282.0
Kepler-60 b,Kepler-60,Transit,2012,1102.0,5905.0
TOI-329 b,TOI-329,Transit,2024,1213.02,5560.0
Kepler-308 c,Kepler-308,Transit,2014,714.0,5895.0
Kepler-1490 b,Kepler-1490,Transit,2016,348.0,5515.0
TOI-1753 b,TOI-1753,Transit,2024,1005.43,5700.0
Kepler-556 b,Kepler-556,Transit,2016,766.0,5740.0
Kepler-101 c,Kepler-101,Transit,2014,1413.0,5667.0
TOI-3884 b,TOI-3884,Transit,2022,441.0,3269.0
Kepler-1200 b,Kepler-1200,Transit,2016,1174.0,4612.0
Kepler-26 d,Kepler-26,Transit,2014,652.0,3914.0
Kepler-363 c,Kepler-363,Transit,2014,1054.0,5593.0
Kepler-592 b,Kepler-592,Transit,2016,1367.0,5913.0
TOI-904 c,TOI-904,Transit,2023,217.26,3770.0
LHS 1678 c,LHS 1678,Transit,2021,510.9,3490.0
HATS-12 b,HATS-12,Transit,2016,1446.0,6357.0
Kepler-858 b,Kepler-858,Transit,2016,399.0,5653.0
Kepler-222 b,Kepler-222,Transit,2014,1004.0,5433.0
Qatar-10 b,Qatar-10,Transit,2019,1955.0,6124.0
K2-316 c,K2-316,Transit,2020,423.0,3436.0
Kepler-1892 b,Kepler-1892,Transit,2021,822.0,5353.0
Kepler-1213 b,Kepler-1213,Transit,2016,1156.0,6050.0
Kepler-432 b,Kepler-432,Transit,2015,812.0,4995.0
Kepler-37 b,Kepler-37,Transit,2013,718.0,5417.0
LP 791-18 c,LP 791-18,Transit,2019,324.4,2960.0
Kepler-29 c,Kepler-29,Transit,2011,715.0,5378.0
Kepler-1108 b,Kepler-1108,Transit,2016,1063.0,5406.0
Kepler-203 b,Kepler-203,Transit,2014,1308.0,5821.0
Kepler-554 b,Kepler-554,Transit,2016,1346.0,5447.0
Kepler-506 b,Kepler-506,Transit,2016,1080.0,6236.0
Kepler-1823 b,Kepler-1823,Transit,2021,718.0,6198.0
Kepler-1992 b,Kepler-1992,Transit,2023,637.0,5373.47
Kepler-237 c,Kepler-237,Transit,2014,687.0,4861.0
Kepler-208 e,Kepler-208,Transit,2014,880.0,6092.0
HAT-P-5 b,HAT-P-5,Transit,2007,1539.0,5960.0
Kepler-254 c,Kepler-254,Transit,2014,787.0,5957.0
Kepler-1287 b,Kepler-1287,Transit,2016,796.0,5715.0
HATS-69 b,HATS-69,Transit,2018,1295.7,5137.0
Kepler-139 b,Kepler-139,Transit,2014,752.0,5594.0
Kepler-134 b,Kepler-134,Transit,2014,1105.0,5983.0
WASP-183 b,WASP-183,Transit,2019,1111.0,5313.0
Kepler-337 c,Kepler-337,Transit,2014,1017.0,5684.0
Kepler-1506 b,Kepler-1506,Transit,2016,783.0,5676.0
K2-394 b,K2-394,Transit,2022,643.0,4197.0
HD 73344 b,HD 73344,Transit,2024,911.0,6460.0
Kepler-1617 b,Kepler-1617,Transit,2016,736.0,6167.0
Kepler-2001 c,Kepler-2001,Transit,2023,597.0,4838.0
HD 206893 c,HD 206893,Imaging,2022,1181.9,6486.0
Kepler-1830 b,Kepler-1830,Transit,2021,681.0,6273.82
Kepler-1390 b,Kepler-1390,Transit,2016,934.0,5753.0
Kepler-913 b,Kepler-913,Transit,2016,1129.0,5440.0
TOI-2364 b,TOI-2364,Transit,2023,1091.0,5306.0
Kepler-350 d,Kepler-350,Transit,2013,782.0,6186.0
Kepler-30 d,Kepler-30,Transit,2012,308.0,5498.0
Kepler-1125 b,Kepler-1125,Transit,2016,778.0,5683.0
K2-19 c,K2-19,Transit,2015,679.0,5430.0
Kepler-1321 c,Kepler-1321,Transit,2016,697.0,4034.0
Kepler-792 b,Kepler-792,Transit,2016,852.0,5971.0
TOI-6000 b,TOI-6000,Transit,2025,1120.0,3419.0
Kepler-891 b,Kepler-891,Transit,2016,486.0,5887.0
Kepler-765 b,Kepler-765,Transit,2016,641.0,5901.0
K2-18 b,K2-18,Transit,2015,284.0,3457.0
Kepler-1516 b,Kepler-1516,Transit,2016,967.0,5904.0
Kepler-1159 b,Kepler-1159,Transit,2016,677.0,6217.0
HATS-59 c,HATS-59,Radial Velocity,2018,175.9,5670.0
HATS-18 b,HATS-18,Transit,2016,2069.48,5600.0
Kepler-113 b,Kepler-113,Transit,2014,775.0,4725.0
Kepler-1605 b,Kepler-1605,Transit,2016,528.0,5280.0
CoRoT-25 b,CoRoT-25,Transit,2013,1330.0,6040.0
TOI-2407 b,TOI-2407,Transit,2025,705.0,3530.0
Kepler-1913 b,Kepler-1913,Transit,2021,818.0,6005.0
Kepler-1060 b,Kepler-1060,Transit,2016,484.0,5797.0
Kepler-1465 b,Kepler-1465,Transit,2016,668.0,4726.0
Kepler-154 e,Kepler-154,Transit,2016,1140.0,5690.0
Kepler-1844 b,Kepler-1844,Transit,2021,1074.0,5633.0
Kepler-1036 b,Kepler-1036,Transit,2016,326.0,5533.0
K2-21 b,K2-21,Transit,2015,500.0,4222.06
Kepler-1918 b,Kepler-1918,Transit,2021,497.0,5376.0
Kepler-577 b,Kepler-577,Transit,2016,314.0,4984.0
Kepler-561 c,Kepler-561,Transit,2016,989.0,5646.0
Kepler-1120 b,Kepler-1120,Transit,2016,1027.0,4904.0
Kepler-585 b,Kepler-585,Transit,2016,1178.0,5593.0
K2-203 b,K2-203,Transit,2018,738.4,5000.0
Kepler-233 b,Kepler-233,Transit,2014,751.0,5360.0
Kepler-1863 b,Kepler-1863,Transit,2021,508.0,5828.35
Kepler-356 c,Kepler-356,Transit,2014,913.0,6133.0
Kepler-1865 b,Kepler-1865,Transit,2021,1203.0,5147.0
Kepler-871 b,Kepler-871,Transit,2016,640.0,5993.0
TOI-5126 b,TOI-5126,Transit,2023,1442.0,6150.0
Kepler-505 b,Kepler-505,Transit,2016,314.0,3931.0
WASP-147 b,WASP-147,Transit,2018,1404.0,5702.0
WASP-89 b,WASP-89,Transit,2015,1120.0,4955.0
Kepler-385 c,Kepler-385,Transit,2014,829.0,6326.0
Kepler-166 d,Kepler-166,Transit,2016,1313.0,5413.0
Kepler-942 b,Kepler-942,Transit,2016,379.0,4861.0
Kepler-212 c,Kepler-212,Transit,2014,664.0,5852.0
K2-285 e,K2-285,Transit,2018,500.9,4975.0
Qatar-4 b,Qatar-4,Transit,2017,1385.0,5215.0
Kepler-819 b,Kepler-819,Transit,2016,485.0,5279.0
Kepler-245 b,Kepler-245,Transit,2014,753.0,5100.0
TOI-2345 b,TOI-2345,Transit,2025,1478.0,4687.0
TOI-2141 c,TOI-2141,Radial Velocity,2025,1095.0,5635.0
WASP-4 b,WASP-4,Transit,2007,1653.0,5500.0
Kepler-195 b,Kepler-195,Transit,2014,751.0,5329.0
Kepler-1556 b,Kepler-1556,Transit,2016,797.0,5608.0
Kepler-209 b,Kepler-209,Transit,2014,668.0,5513.0
TOI-1136 g,TOI-1136,Transit,2022,574.0,5770.0
Kepler-131 c,Kepler-131,Transit,2014,615.0,5685.0
Kepler-994 b,Kepler-994,Transit,2016,957.0,3934.0
Kepler-24 d,Kepler-24,Transit,2014,1305.0,5897.0
Kepler-548 b,Kepler-548,Transit,2016,1017.0,5535.0
HATS-40 b,HATS-40,Transit,2018,2101.0,6460.0
Kepler-237 b,Kepler-237,Transit,2014,823.0,4861.0
Kepler-376 b,Kepler-376,Transit,2014,1242.0,5900.0
Kepler-1517 b,Kepler-1517,Transit,2016,2336.0,7010.0
K2-126 b,K2-126,Transit,2017,601.0,4339.0
Kepler-1876 b,Kepler-1876,Transit,2021,1299.0,6104.0
K2-226 b,K2-226,Transit,2018,1187.0,5424.0
Kepler-219 c,Kepler-219,Transit,2014,766.0,5786.0
K2-141 c,K2-141,Transit,2018,695.0,4599.0
Kepler-1790 b,Kepler-1790,Transit,2021,682.0,6108.0
Kepler-1641 c,Kepler-1641,Transit,2016,767.0,6152.0
TOI-4860 b,TOI-4860,Transit,2023,694.0,3390.0
WASP-155 b,WASP-155,Transit,2025,1468.0,5660.0
HATS-35 b,HATS-35,Transit,2016,2037.0,6300.0
Kepler-918 b,Kepler-918,Transit,2016,1052.0,6028.0
Kepler-248 c,Kepler-248,Transit,2014,598.0,5190.0
Kepler-141 b,Kepler-141,Transit,2014,968.0,4910.0
Kepler-582 b,Kepler-582,Transit,2016,603.0,5564.0
Kepler-335 c,Kepler-335,Transit,2014,592.0,5877.0
Kepler-31 d,Kepler-31,Transit,2014,484.0,6340.0
Kepler-966 b,Kepler-966,Transit,2016,391.0,5840.0
Kepler-630 b,Kepler-630,Transit,2016,343.0,5829.0
HAT-P-26 b,HAT-P-26,Transit,2010,1001.0,5079.0
Kepler-874 b,Kepler-874,Transit,2016,560.0,6020.0
L 98-59 b,L 98-59,Transit,2019,620.0,3415.0
Kepler-235 b,Kepler-235,Transit,2014,731.0,4255.0
Kepler-1047 b,Kepler-1047,Transit,2016,503.0,5754.0
Kepler-85 c,Kepler-85,Transit,2012,706.0,5436.0
Kepler-1345 b,Kepler-1345,Transit,2016,693.0,6449.0
TOI-1130 c,TOI-1130,Transit,2020,650.0,4250.0
Kepler-734 b,Kepler-734,Transit,2016,784.0,5326.0
Kepler-521 b,Kepler-521,Transit,2016,803.0,6406.0
TYC 8998-760-1 c,TYC 8998-760-1,Imaging,2020,1240.0,4573.0
Kepler-358 c,Kepler-358,Transit,2014,411.0,5908.0
Kepler-1377 b,Kepler-1377,Transit,2016,1873.0,5271.0
Kepler-1720 b,Kepler-1720,Transit,2021,697.0,5340.0
Kepler-866 b,Kepler-866,Transit,2016,996.0,4751.0
Kepler-223 b,Kepler-223,Transit,2014,1042.0,5829.0
Kepler-665 b,Kepler-665,Transit,2016,593.0,4913.0
TOI-332 b,TOI-332,Transit,2023,1871.0,5251.0
Kepler-922 b,Kepler-922,Transit,2016,1876.0,5671.0
Gaia-2 b,Gaia-2,Transit,2022,1213.23,5720.0
HATS-67 b,HATS-67,Transit,2018,2193.0,6605.0
Kepler-1780 b,Kepler-1780,Transit,2021,340.0,5385.22
K2-43 b,K2-43,Transit,2016,939.3,3840.6
Kepler-223 e,Kepler-223,Transit,2014,751.0,5829.0
Kepler-1069 b,Kepler-1069,Transit,2016,823.0,5722.0
Kepler-68 c,Kepler-68,Transit,2013,1052.0,5793.0
WASP-91 b,WASP-91,Transit,2017,1160.0,4920.0
HD 28471 b,HD 28471,Radial Velocity,2025,1377.0,5766.0
Kepler-253 d,Kepler-253,Transit,2014,563.0,5208.0
TOI-4137 b,TOI-4137,Transit,2022,1570.0,6134.0
K2-62 b,K2-62,Transit,2016,666.0,4880.0
Kepler-267 b,Kepler-267,Transit,2014,615.0,4258.0
L 98-59 e,L 98-59,Radial Velocity,2021,347.0,3415.0
TOI-2096 c,TOI-2096,Transit,2023,349.0,3285.0
Kepler-775 b,Kepler-775,Transit,2016,1612.0,5468.0
NGTS-11 b,NGTS-11,Transit,2020,435.0,5050.0
WASP-177 b,WASP-177,Transit,2019,1142.0,5017.0
HD 183579 b,HD 183579,Transit,2021,752.0,5788.0
Kepler-791 b,Kepler-791,Transit,2016,939.0,6383.0
Kepler-657 b,Kepler-657,Transit,2016,616.0,5808.0
TOI-1260 b,TOI-1260,Transit,2021,871.0,4227.0
Kepler-240 c,Kepler-240,Transit,2014,696.0,4985.0
K2-198 c,K2-198,Transit,2019,1229.9,5212.9
TOI-1062 b,TOI-1062,Transit,2021,1077.0,5328.0
WASP-79 b,WASP-79,Transit,2012,1716.2,6600.0
Kepler-403 c,Kepler-403,Transit,2014,604.0,6090.0
Kepler-1630 b,Kepler-1630,Transit,2016,182.0,4689.0
HD 219666 b,HD 219666,Transit,2018,1076.0,5527.0
Kepler-1365 b,Kepler-1365,Transit,2016,969.0,5770.0
HAT-P-34 b,HAT-P-34,Transit,2011,1520.0,6509.0
Kepler-133 c,Kepler-133,Transit,2014,663.0,5736.0
TOI-2046 b,TOI-2046,Transit,2022,1828.82,6160.0
Kepler-346 c,Kepler-346,Transit,2014,654.0,6033.0
Kepler-160 b,Kepler-160,Transit,2014,1134.0,5471.0
Kepler-341 d,Kepler-341,Transit,2014,622.0,6012.0
Kepler-292 b,Kepler-292,Transit,2014,1130.0,5299.0
Kepler-769 b,Kepler-769,Transit,2016,1037.0,6186.0
Kepler-1489 b,Kepler-1489,Transit,2016,400.0,5655.0
Kepler-1623 b,Kepler-1623,Transit,2016,1000.0,5772.0
Kepler-496 b,Kepler-496,Transit,2016,747.0,5293.0
Kepler-1331 b,Kepler-1331,Transit,2016,1244.0,4508.0
Kepler-1126 b,Kepler-1126,Transit,2016,374.0,5798.0
Kepler-287 b,Kepler-287,Transit,2014,667.0,5806.0
KELT-17 b,KELT-17,Transit,2016,2087.0,7454.0
HAT-P-21 b,HAT-P-21,Transit,2010,1283.0,5588.0
TOI-2145 b,TOI-2145,Transit,2023,1363.43,6189.0
Kepler-48 c,Kepler-48,Transit,2012,736.0,5194.0
HD 110067 g,HD 110067,Transit,2023,440.0,5266.0
TOI-2096 b,TOI-2096,Transit,2023,445.0,3285.0
Kepler-1369 b,Kepler-1369,Transit,2016,667.0,5761.0
Kepler-1136 b,Kepler-1136,Transit,2016,922.0,4512.0
Kepler-1356 b,Kepler-1356,Transit,2016,1714.0,5106.0
Kepler-289 e,Kepler-289,Transit,2025,286.0,5990.0
K2-8 b,K2-8,Transit,2015,631.0,4846.0
Kepler-292 c,Kepler-292,Transit,2014,1001.0,5299.0
HATS-33 b,HATS-33,Transit,2016,1429.0,5659.0
Kepler-539 b,Kepler-539,Transit,2016,387.6,5820.0
Kepler-80 d,Kepler-80,Transit,2014,722.0,4540.0
K2-254 c,K2-254,Transit,2018,551.0,4629.0
Kepler-889 b,Kepler-889,Transit,2016,1328.0,5961.0
Kepler-1504 b,Kepler-1504,Transit,2016,485.0,5393.0
Kepler-1254 c,Kepler-1254,Transit,2016,927.0,4985.0
Kepler-244 c,Kepler-244,Transit,2014,791.0,5554.0
Kepler-1332 b,Kepler-1332,Transit,2016,728.0,5581.0
Kepler-341 b,Kepler-341,Transit,2014,1085.0,6012.0
Kepler-676 b,Kepler-676,Transit,2016,396.0,3701.0
K2-199 b,K2-199,Transit,2018,913.0,4648.0
Kepler-598 c,Kepler-598,Transit,2020,367.0,5307.0
Kepler-1669 b,Kepler-1669,Transit,2020,530.0,4303.0
Kepler-284 c,Kepler-284,Transit,2014,478.0,5615.0
Kepler-895 b,Kepler-895,Transit,2016,771.0,4315.0
K2-60 b,K2-60,Transit,2016,1400.0,5500.0
Kepler-288 d,Kepler-288,Transit,2014,570.0,5918.0
Kepler-1397 b,Kepler-1397,Transit,2016,551.0,6026.0
Kepler-787 b,Kepler-787,Transit,2016,1115.0,4248.0
Kepler-358 b,Kepler-358,Transit,2014,554.0,5908.0
Kepler-295 c,Kepler-295,Transit,2014,621.0,5603.0
Kepler-354 d,Kepler-354,Transit,2014,451.0,4648.0
TOI-3135 b,TOI-3135,Transit,2025,1292.0,5890.0
Kepler-646 b,Kepler-646,Transit,2016,632.0,5634.0
Kepler-718 b,Kepler-718,Transit,2016,1497.0,6191.0
TOI-2134 c,TOI-2134,Transit,2023,306.0,4406.0
WASP-150 b,WASP-150,Transit,2020,1460.0,6093.0
Kepler-1179 b,Kepler-1179,Transit,2016,1137.0,5212.0
TOI-4010 e,TOI-4010,Radial Velocity,2023,174.0,5104.0
Kepler-1342 b,Kepler-1342,Transit,2016,1283.0,5527.0
Kepler-381 c,Kepler-381,Transit,2014,1180.0,6152.0
Kepler-230 b,Kepler-230,Transit,2014,506.0,5588.0
Kepler-1544 b,Kepler-1544,Transit,2016,269.0,4886.0
WASP-174 b,WASP-174,Transit,2018,1528.0,6400.0
AU Mic c,AU Mic,Transit,2021,459.0,3700.0
Kepler-1880 b,Kepler-1880,Transit,2021,606.0,4483.0
Kepler-475 b,Kepler-475,Transit,2016,980.0,5009.0
Kepler-523 b,Kepler-523,Transit,2016,884.0,5515.0
Kepler-1978 b,Kepler-1978,Transit,2023,676.0,5155.0
Kepler-1836 b,Kepler-1836,Transit,2021,1093.0,5762.0
GJ 724 b,GJ 724,Radial Velocity,2023,611.0,3799.0
TOI-1842 b,TOI-1842,Transit,2021,1199.55,6230.0
Kepler-141 c,Kepler-141,Transit,2014,738.0,4910.0
Kepler-385 b,Kepler-385,Transit,2014,951.0,6326.0
Kepler-948 b,Kepler-948,Transit,2016,841.0,5501.23
Kepler-1715 b,Kepler-1715,Transit,2021,646.0,6033.33
Kepler-887 c,Kepler-887,Transit,2016,1089.0,6194.0
Kepler-306 d,Kepler-306,Transit,2014,535.0,4954.0
Kepler-177 c,Kepler-177,Transit,2013,497.0,5732.0
Kepler-1885 b,Kepler-1885,Transit,2021,1205.0,5280.0
Kepler-572 b,Kepler-572,Transit,2016,553.0,5212.0
Kepler-1450 b,Kepler-1450,Transit,2016,308.0,4524.0
Kepler-635 b,Kepler-635,Transit,2016,802.0,6174.0
TOI-1803 c,TOI-1803,Transit,2025,588.0,4687.0
Kepler-882 b,Kepler-882,Transit,2016,903.0,5476.0
Kepler-559 b,Kepler-559,Transit,2016,706.0,5630.0
Kepler-31 c,Kepler-31,Transit,2011,615.0,6340.0
Kepler-143 c,Kepler-143,Transit,2014,703.0,5848.0
TOI-4773 b,TOI-4773,Transit,2025,2255.0,6740.0
Kepler-1312 b,Kepler-1312,Transit,2016,978.0,5602.86
WASP-22 b,WASP-22,Transit,2010,1502.0,6000.0
Kepler-272 b,Kepler-272,Transit,2014,1200.0,5297.0
Kepler-1116 b,Kepler-1116,Transit,2016,488.0,5641.0
Kepler-342 b,Kepler-342,Transit,2014,905.0,6175.0
Kepler-1511 b,Kepler-1511,Transit,2016,903.0,6064.0
Kepler-58 c,Kepler-58,Transit,2012,799.0,5747.0
TOI-2260 b,TOI-2260,Transit,2022,2609.0,5534.0
TOI-500 b,TOI-500,Transit,2022,1617.0,4621.0
WASP-34 b,WASP-34,Transit,2010,1250.0,5700.0
HD 260655 c,HD 260655,Transit,2022,557.0,3803.0
TOI-3693 b,TOI-3693,Transit,2022,801.0,5246.0
TOI-2537 c,TOI-2537,Radial Velocity,2024,123.1,4843.0
Kepler-622 b,Kepler-622,Transit,2016,446.0,4201.0
TOI-1408 c,TOI-1408,Transit Timing Variations,2024,1864.0,6117.0
Kepler-227 c,Kepler-227,Transit,2014,443.0,5854.0
TOI-1685 b,TOI-1685,Transit,2021,1062.0,3434.0
Kepler-678 b,Kepler-678,Transit,2016,833.0,5520.0
Kepler-785 b,Kepler-785,Transit,2016,753.0,4739.0
Kepler-1268 b,Kepler-1268,Transit,2016,627.0,5904.0
Kepler-144 c,Kepler-144,Transit,2014,1046.0,6075.0
Kepler-427 b,Kepler-427,Transit,2014,1100.0,5800.0
TOI-1298 b,TOI-1298,Transit,2021,1278.0,5889.0
Kepler-44 b,Kepler-44,Transit,2011,1544.0,5800.0
Kepler-1535 b,Kepler-1535,Transit,2016,384.0,6021.0
Kepler-1460 b,Kepler-1460,Transit,2016,391.0,4422.0
TOI-2346 b,TOI-2346,Transit,2025,1689.0,6480.0
Kepler-260 c,Kepler-260,Transit,2014,372.0,5250.0
Kepler-41 b,Kepler-41,Transit,2011,1790.0,5750.0
Kepler-164 d,Kepler-164,Transit,2014,637.0,6095.0
HAT-P-37 b,HAT-P-37,Transit,2011,1271.0,5500.0
Kepler-431 c,Kepler-431,Transit,2015,951.0,6004.0
Kepler-247 c,Kepler-247,Transit,2014,686.0,5100.0
Kepler-32 b,Kepler-32,Transit,2011,514.0,3900.0
Kepler-1015 b,Kepler-1015,Transit,2016,1040.0,6769.0
Kepler-1818 b,Kepler-1818,Transit,2021,1209.0,5908.0
K2-193 b,K2-193,Transit,2018,739.0,5817.0
Kepler-1789 b,Kepler-1789,Transit,2021,380.0,5495.0
HD 15906 c,HD 15906,Transit,2023,532.0,4757.0
HD 7924 b,HD 7924,Radial Velocity,2008,825.9,5177.0
TOI-6109 b,TOI-6109,Transit,2025,700.0,5660.0
TOI-871 b,TOI-871,Transit,2024,621.0,4929.0
WASP-124 b,WASP-124,Transit,2016,1400.0,6050.0
Kepler-1727 b,Kepler-1727,Transit,2021,757.0,5298.27
TOI-1238 c,TOI-1238,Transit,2022,695.0,4089.0
Kepler-1518 c,Kepler-1518,Transit,2023,1094.0,6856.98
Kepler-1218 b,Kepler-1218,Transit,2016,684.0,5986.0
Kepler-767 b,Kepler-767,Transit,2016,366.0,5694.0
TOI-2986 b,TOI-2986,Transit,2025,1622.0,5906.0
Kepler-531 b,Kepler-531,Transit,2016,453.0,4893.0
HAT-P-63 b,HAT-P-63,Transit,2021,1237.0,5400.0
Kepler-1182 b,Kepler-1182,Transit,2016,796.0,5924.0
TOI-700 e,TOI-700,Transit,2023,272.9,3480.0
Kepler-727 b,Kepler-727,Transit,2016,964.0,5441.0
Kepler-892 b,Kepler-892,Transit,2016,556.0,4747.0
Kepler-1990 c,Kepler-1990,Transit,2023,1170.0,5940.0
Kepler-1688 b,Kepler-1688,Transit,2020,772.0,4936.24
Kepler-1191 b,Kepler-1191,Transit,2016,952.0,5308.0
Kepler-1891 b,Kepler-1891,Transit,2021,1017.0,5484.37
Kepler-328 b,Kepler-328,Transit,2013,602.0,5914.0
Kepler-876 b,Kepler-876,Transit,2016,923.0,5060.0
Kepler-511 c,Kepler-511,Transit,2021,742.0,5770.0
Kepler-1337 b,Kepler-1337,Transit,2016,437.0,4523.0
K2-198 b,K2-198,Transit,2018,715.8,5212.9
