pl_name,hostname,discoverymethod,disc_year,pl_eqt,st_teff
Kepler-601 b,Kepler-601,Transit,2016,833.0,5160.0
Kepler-1684 b,Kepler-1684,Transit,2020,347.0,4787.0
HATS-66 b,HATS-66,Transit,2018,1998.0,6606.0
Kepler-781 b,Kepler-781,Transit,2016,629.0,5162.0
Kepler-171 b,Kepler-171,Transit,2014,1053.0,5642.0
Kepler-1021 b,Kepler-1021,Transit,2016,634.0,5431.0
Kepler-1399 b,Kepler-1399,Transit,2016,1610.0,5735.0
Kepler-1550 b,Kepler-1550,Transit,2016,348.0,5991.0
TOI-7041 b,TOI-7041,Transit,2025,882.37,4700.0
Kepler-414 c,Kepler-414,Transit Timing Variations,2014,890.0,5567.0
TOI-5126 c,TOI-5126,Transit,2023,971.0,6150.0
TOI-406 c,TOI-406,Transit,2024,584.0,3324.0
Kepler-545 b,Kepler-545,Transit,2016,806.0,5882.0
KPS-1 b,KPS-1,Transit,2018,1459.0,5165.0
NGTS-25 b,NGTS-25,Transit,2022,1101.0,5321.0
Kepler-916 b,Kepler-916,Transit,2016,503.0,5248.0
Kepler-1633 b,Kepler-1633,Transit,2016,925.0,6256.0
L 98-59 f,L 98-59,Radial Velocity,2025,285.0,3415.0
Kepler-242 c,Kepler-242,Transit,2014,613.0,5020.0
Qatar-5 b,Qatar-5,Transit,2017,1415.0,5747.0
TOI-2025 b,TOI-2025,Transit,2022,1166.0,5880.0
K2-348 c,K2-348,Transit,2021,655.0,5077.0
K2-132 b,K2-132,Transit,2017,1586.0,4840.0
Kepler-399 c,Kepler-399,Transit,2014,630.0,5502.0
Kepler-845 b,Kepler-845,Transit,2016,1361.0,4913.0
Kepler-1919 b,Kepler-1919,Transit,2021,479.0,5257.0
Kepler-1038 c,Kepler-1038,Transit,2021,784.0,5238.0
HATS-41 b,HATS-41,Transit,2018,1710.0,6424.0
Kepler-1020 b,Kepler-1020,Transit,2016,325.0,5227.0
Kepler-682 b,Kepler-682,Transit,2016,753.0,5559.0
Kepler-1447 b,Kepler-1447,Transit,2016,522.0,5722.0
TOI-1470 c,TOI-1470,Transit,2023,373.0,3709.0
K2-178 b,K2-178,Transit,2018,840.29,5525.0
HATS-77 b,HATS-77,Transit,2021,828.3,4071.0
Kepler-915 b,Kepler-915,Transit,2016,1319.0,6173.0
TOI-4379 b,TOI-4379,Transit,2024,1869.38,6020.0
WASP-142 b,WASP-142,Transit,2016,2000.0,6010.0
Kepler-597 b,Kepler-597,Transit,2016,743.0,5683.0
TOI-3261 b,TOI-3261,Transit,2024,1722.0,5068.0
HAT-P-59 b,HAT-P-59,Transit,2021,1277.8,5678.0
WASP-53 b,WASP-53,Transit,2017,1053.0,4953.0
Kepler-1857 b,Kepler-1857,Transit,2021,946.0,6147.0
Kepler-342 c,Kepler-342,Transit,2014,754.0,6175.0
Kepler-910 b,Kepler-910,Transit,2016,1752.0,6230.0
Kepler-242 b,Kepler-242,Transit,2014,742.0,5020.0
K2-268 d,K2-268,Transit,2021,888.0,5068.0
TOI-220 b,TOI-220,Transit,2021,805.0,5298.0
Kepler-374 d,Kepler-374,Transit,2014,1272.0,5977.0
Kepler-1870 b,Kepler-1870,Transit,2021,1046.0,5378.0
Kepler-258 b,Kepler-258,Transit,2014,642.0,4942.0
K2-8 c,K2-8,Transit,2016,801.0,4846.0
Kepler-849 b,Kepler-849,Transit,2016,362.7,6059.0
Kepler-405 c,Kepler-405,Transit,2014,557.0,5818.0
TOI-139 b,TOI-139,Transit,2023,561.17,4405.0
K2-223 b,K2-223,Transit,2018,2271.0,5835.0
Kepler-244 b,Kepler-244,Transit,2014,1038.0,5554.0
Kepler-1065 c,Kepler-1065,Transit,2016,1256.0,5635.0
TOI-4087 b,TOI-4087,Transit,2023,1458.0,6060.0
TOI-6086 b,TOI-6086,Transit,2024,634.0,3200.0
Kepler-46 b,Kepler-46,Transit,2012,543.0,5309.0
TOI-3071 b,TOI-3071,Transit,2024,2155.0,6177.0
